"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-diagnostic-du-cancer","fr-diagnostic-du-cancer","","","",0,*,"","","","null {[]} {[]}
","FR-Diagnostic-du-cancer","IHE - PCC - Cancer Diagnosis                 Cette entrée est une spécialisation de l’entrée FR-Probleme (1.2.250.1.213.1.1.3.37). Elle est utilisée dans une entrée FR-Liste-des-problemes-cancer (1.2.250.1.213.1.1.3.39.1) pour décrire un diagnostic du cancer.                                         ...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-diagnostic-du-cancer.observation","fr-diagnostic-du-cancer.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Diagnostic du cancer","Entrée Diagnostic du cancer","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-diagnostic-du-cancer.observation",0,1,"",""
"fr-diagnostic-du-cancer.id","fr-diagnostic-du-cancer.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-diagnostic-du-cancer.id",1,1,"",""
"fr-diagnostic-du-cancer.code","fr-diagnostic-du-cancer.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-diagnostic-du-cancer.code",1,1,"",""
"fr-diagnostic-du-cancer.text","fr-diagnostic-du-cancer.text","","","",1,1,"","","","string {[]} {[]}
","Description narrative du diagnostic du cancer","Description narrative du diagnostic du cancer","","","","","","","","","",,,,,"",,,,"fr-diagnostic-du-cancer.text",1,1,"",""
"fr-diagnostic-du-cancer.reference","fr-diagnostic-du-cancer.reference","","","",1,1,"","","","string {[]} {[]}
","Référence à la description narrative","Référence à la description narrative","","","","","","","","","",,,,,"",,,,"fr-diagnostic-du-cancer.reference",1,1,"",""
"fr-diagnostic-du-cancer.statusCode","fr-diagnostic-du-cancer.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l’entrée","Statut de l’entrée","","","","","","","","","",,,,,"",,,,"fr-diagnostic-du-cancer.statusCode",1,1,"",""
"fr-diagnostic-du-cancer.effectiveTime","fr-diagnostic-du-cancer.effectiveTime","","","",1,1,"","","","string {[]} {[]}
","Date de diagnostic","Date de diagnostic","","","","","","","","","",,,,,"",,,,"fr-diagnostic-du-cancer.effectiveTime",1,1,"",""
"fr-diagnostic-du-cancer.value","fr-diagnostic-du-cancer.value","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Morphologie","Morphologie","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-morphologie-cisis|20251028115835","",,,,"fr-diagnostic-du-cancer.value",1,1,"",""
"fr-diagnostic-du-cancer.originalText","fr-diagnostic-du-cancer.originalText","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-diagnostic-du-cancer.originalText",1,1,"",""
"fr-diagnostic-du-cancer.targetSiteCode","fr-diagnostic-du-cancer.targetSiteCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Topographie","Topographie","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-diagnostic-du-cancer.targetSiteCode",1,1,"",""
"fr-diagnostic-du-cancer.qualifier","fr-diagnostic-du-cancer.qualifier","","","",0,*,"","","","string {[]} {[]}
","Latéralité","Latéralité","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-diagnostic-du-cancer.qualifier",0,*,"",""
"fr-diagnostic-du-cancer.name","fr-diagnostic-du-cancer.name","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-diagnostic-du-cancer.name",1,1,"",""
"fr-diagnostic-du-cancer.entryRelationship","fr-diagnostic-du-cancer.entryRelationship","","","",0,1,"","","","string {[]} {[]}
","Commentaire sur la tumeur","Commentaire sur la tumeur","","","","","","","","","",,,,,"",,,,"fr-diagnostic-du-cancer.entryRelationship",0,1,"",""
