"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-liste-des-problemes-cancer","fr-liste-des-problemes-cancer","","","",0,*,"","","","null {[]} {[]}
","FR-Liste-des-problemes-cancer","Cette entrée permet de regrouper les entrées FR-Diagnostic-du-cancer.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-liste-des-problemes-cancer.act","fr-liste-des-problemes-cancer.act","","","",0,1,"","","","string {[]} {[]}
","Entrée Liste des problemes cancer","Entrée Liste des problemes cancer","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-liste-des-problemes-cancer.act",0,1,"",""
"fr-liste-des-problemes-cancer.id","fr-liste-des-problemes-cancer.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-liste-des-problemes-cancer.id",1,1,"",""
"fr-liste-des-problemes-cancer.code","fr-liste-des-problemes-cancer.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée
                        Valeur fixée à nullFlavor=""NA""","Code de l'entrée
                        Valeur fixée à nullFlavor=""NA""","","","","","","","","","",,,,,"",,,,"fr-liste-des-problemes-cancer.code",1,1,"",""
"fr-liste-des-problemes-cancer.statusCode","fr-liste-des-problemes-cancer.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-liste-des-problemes-cancer.statusCode",1,1,"",""
"fr-liste-des-problemes-cancer.effectiveTime","fr-liste-des-problemes-cancer.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date de début et de fin du problème","Date de début et de fin du problème","","","","","","","","","",,,,,"",,,,"fr-liste-des-problemes-cancer.effectiveTime",1,1,"",""
"fr-liste-des-problemes-cancer.low","fr-liste-des-problemes-cancer.low","","","",1,1,"","","","string {[]} {[]}
","Date du début","Date du début","","","","","","","","","",,,,,"",,,,"fr-liste-des-problemes-cancer.low",1,1,"",""
"fr-liste-des-problemes-cancer.high","fr-liste-des-problemes-cancer.high","","","",0,1,"","","","string {[]} {[]}
","Date de fin","Date de fin","","","","","","","","","",,,,,"",,,,"fr-liste-des-problemes-cancer.high",0,1,"",""
"fr-liste-des-problemes-cancer.entryRelationship","fr-liste-des-problemes-cancer.entryRelationship","","","",0,*,"","","","string {[]} {[]}
","Autre précision","Autre précision","","","","","","","","","",,,,,"",,,,"fr-liste-des-problemes-cancer.entryRelationship",0,*,"",""
