"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-dose-antigene","fr-dose-antigene","","","",0,*,"","","","null {[]} {[]}
","FR-Dose-antigene","IHE-PCC – Antigene-Dose                                                               L'entrée Dose d'antigène permet de décrire des informations complémentaires sur la vaccination, et plus précisément, la dose spécifique d'un antigène.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-dose-antigene.substanceAdministration","fr-dose-antigene.substanceAdministration","","","",0,1,"","","","string {[]} {[]}
","Entrée Dose d'antigène","Entrée Dose d'antigène","","","","","","","","","",,,,,"",,,,"fr-dose-antigene.substanceAdministration",0,1,"",""
"fr-dose-antigene.id","fr-dose-antigene.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de la fourniture du DM
                        
                        Attribué par le LPS avec si possible les attributs @root et @exten...","Identifiant de la fourniture du DM
                        
                        Attribué par le LPS avec si possible les attributs @root et @exten...","","","","","","","","","",,,,,"",,,,"fr-dose-antigene.id",1,1,"",""
"fr-dose-antigene.doseQuantity","fr-dose-antigene.doseQuantity","","","",1,1,"","","","string {[]} {[]}
","Dose d'antigène","Dose d'antigène","","","","","","","","","",,,,,"",,,,"fr-dose-antigene.doseQuantity",1,1,"",""
"fr-dose-antigene.value","fr-dose-antigene.value","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dose-antigene.value",1,1,"",""
"fr-dose-antigene.unit","fr-dose-antigene.unit","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dose-antigene.unit",1,1,"",""
"fr-dose-antigene.consumable","fr-dose-antigene.consumable","","","",1,1,"","","","string {[]} {[]}
","Antigène","Antigène","","","","","","","","","",,,,,"",,,,"fr-dose-antigene.consumable",1,1,"",""
