"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-historique-statuts-professionnels","fr-historique-statuts-professionnels","","","",0,*,"","","","null {[]} {[]}
","FR-Historique-statuts-professionnels","IHE-PCC -History of Employment Status Observation                                                               Cette entrée permet de décire la situation d’une personne (par exemple : active, sans emploi, inactive) à un moment donné.                                                                  ...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-historique-statuts-professionnels.observation","fr-historique-statuts-professionnels.observation","","","",1,1,"","","","string {[]} {[]}
","Entrée Historique statuts professionnels","Entrée Historique statuts professionnels","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-employmentStatusODH-cisis|20251028115831","",,,,"fr-historique-statuts-professionnels.observation",1,1,"",""
"fr-historique-statuts-professionnels.id","fr-historique-statuts-professionnels.id","","","",1,*,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-historique-statuts-professionnels.id",1,*,"",""
"fr-historique-statuts-professionnels.code","fr-historique-statuts-professionnels.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-historique-statuts-professionnels.code",1,1,"",""
"fr-historique-statuts-professionnels.statusCode","fr-historique-statuts-professionnels.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée
                        
                        Fixé à la valeur ""completed""","Statut de l'entrée
                        
                        Fixé à la valeur ""completed""","","","","","","","","","",,,,,"",,,,"fr-historique-statuts-professionnels.statusCode",1,1,"",""
"fr-historique-statuts-professionnels.effectiveTime","fr-historique-statuts-professionnels.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Horodatage","Horodatage","","","","","","","","","",,,,,"",,,,"fr-historique-statuts-professionnels.effectiveTime",1,1,"",""
"fr-historique-statuts-professionnels.low","fr-historique-statuts-professionnels.low","","","",0,1,"","","","dateTime {[]} {[]}
","Date de début
                            
                            L’heure de fin ne doit pas être supérieure à l’heure à laquelle l’observation e...","Date de début
                            
                            L’heure de fin ne doit pas être supérieure à l’heure à laquelle l’observation e...","","","","","","","","","",,,,,"",,,,"fr-historique-statuts-professionnels.low",0,1,"",""
"fr-historique-statuts-professionnels.high","fr-historique-statuts-professionnels.high","","","",0,1,"","","","dateTime {[]} {[]}
","Date de fin","Date de fin","","","","","","","","","",,,,,"",,,,"fr-historique-statuts-professionnels.high",0,1,"",""
"fr-historique-statuts-professionnels.value","fr-historique-statuts-professionnels.value","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Statut professionnel","Statut professionnel","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-employmentStatusODH-cisis|20251028115831","",,,,"fr-historique-statuts-professionnels.value",1,1,"",""
