"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-region-interet-sur-image","fr-region-interet-sur-image","","","",0,*,"","","","null {[]} {[]}
","FR-Region-interet-sur-image","IHE-PCC - Region of Interest                                                                L'élément Région d'intérêt sur image illustrative permet de décrire une région d'intérêt ciblée sur une image illustrative.                                                                    L'image est codée...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-region-interet-sur-image.regionOfInterest","fr-region-interet-sur-image.regionOfInterest","","","",0,1,"","","","string {[]} {[]}
","Entrée Région d'intérêt sur image illustrative","Entrée Région d'intérêt sur image illustrative","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ROIOverlayShape-cisis|20251028115835","",,,,"fr-region-interet-sur-image.regionOfInterest",0,1,"",""
"fr-region-interet-sur-image.id","fr-region-interet-sur-image.id","","","",1,*,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-region-interet-sur-image.id",1,*,"",""
"fr-region-interet-sur-image.code","fr-region-interet-sur-image.code","","","",1,1,"","","","code {[]} {[]}
","Type de la région d'intérêt","Type de la région d'intérêt","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ROIOverlayShape-cisis|20251028115835","",,,,"fr-region-interet-sur-image.code",1,1,"",""
"fr-region-interet-sur-image.value","fr-region-interet-sur-image.value","","","",1,*,"","","","integer {[]} {[]}
","Dimension en pixels","Dimension en pixels","","","","","","","","","",,,,,"",,,,"fr-region-interet-sur-image.value",1,*,"",""
"fr-region-interet-sur-image.entryRelationship","fr-region-interet-sur-image.entryRelationship","","","",0,1,"","","","string {[]} {[]}
","Elément Image illustrative CDA ou APSR","Elément Image illustrative CDA ou APSR","","","","","","","","","",,,,,"",,,,"fr-region-interet-sur-image.entryRelationship",0,1,"",""
