"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-transfert-du-patient","fr-transfert-du-patient","","","",0,*,"","","","null {[]} {[]}
","FR-Transfert-du-patient","IHE-PCC - Patient Transfer                 L'entrée Transfert du patient est une entrée de type 'act' qui porte les informations relatives au transfert d'un patient vers un autre service du même hôpital ou d'un hôpital différent.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-transfert-du-patient.act","fr-transfert-du-patient.act","","","",1,1,"","","","string {[]} {[]}
","Entrée Transfert du patient","Entrée Transfert du patient","","","","","","","","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J02-XdsHealthcareFacilityTypeCode-CISIS/FHIR/JDV-J02-XdsHealthcareFacilityTypeCode-CISIS|20250523120000","",,,,"fr-transfert-du-patient.act",1,1,"",""
"fr-transfert-du-patient.id","fr-transfert-du-patient.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-transfert-du-patient.id",1,1,"",""
"fr-transfert-du-patient.code","fr-transfert-du-patient.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-transfert-du-patient.code",1,1,"",""
"fr-transfert-du-patient.text","fr-transfert-du-patient.text","","","",1,1,"","","","string {[]} {[]}
","Texte décrivant le transfert","Texte décrivant le transfert","","","","","","","","","",,,,,"",,,,"fr-transfert-du-patient.text",1,1,"",""
"fr-transfert-du-patient.reference","fr-transfert-du-patient.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-transfert-du-patient.reference",1,1,"",""
"fr-transfert-du-patient.statusCode","fr-transfert-du-patient.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut du transfert
                              Si le transfert a déjà été effectué : statusCode='completed'Si le transfert est à faire : statusCode...","Statut du transfert
                              Si le transfert a déjà été effectué : statusCode='completed'Si le transfert est à faire : statusCode...","","","","","","","","","",,,,,"",,,,"fr-transfert-du-patient.statusCode",1,1,"",""
"fr-transfert-du-patient.effectiveTime","fr-transfert-du-patient.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Date du transfert
                         Cet élément est obligatoire si le transfert a été réalisé. Ses sous-éléments 'low' et 'high' indiquent resp...","Date du transfert
                         Cet élément est obligatoire si le transfert a été réalisé. Ses sous-éléments 'low' et 'high' indiquent resp...","","","","","","","","","",,,,,"",,,,"fr-transfert-du-patient.effectiveTime",0,1,"",""
"fr-transfert-du-patient.low","fr-transfert-du-patient.low","","","",0,1,"","","","dateTime {[]} {[]}
","Date de début du transfert","Date de début du transfert","","","","","","","","","",,,,,"",,,,"fr-transfert-du-patient.low",0,1,"",""
"fr-transfert-du-patient.high","fr-transfert-du-patient.high","","","",0,1,"","","","dateTime {[]} {[]}
","Date de fin du transfert","Date de fin du transfert","","","","","","","","","",,,,,"",,,,"fr-transfert-du-patient.high",0,1,"",""
"fr-transfert-du-patient.participant","fr-transfert-du-patient.participant","","","",0,1,"","","","string {[]} {[]}
","Destination","Destination","","","","","","","","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J02-XdsHealthcareFacilityTypeCode-CISIS/FHIR/JDV-J02-XdsHealthcareFacilityTypeCode-CISIS|20250523120000","",,,,"fr-transfert-du-patient.participant",0,1,"",""
"fr-transfert-du-patient.participantRole","fr-transfert-du-patient.participantRole","","","",1,1,"","","","string {[]} {[]}
","Terminologies: cip","Type du participant","","","","","","","","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J02-XdsHealthcareFacilityTypeCode-CISIS/FHIR/JDV-J02-XdsHealthcareFacilityTypeCode-CISIS|20250523120000","",,,,"fr-transfert-du-patient.participantRole",1,1,"",""
"fr-transfert-du-patient.playingEntity","fr-transfert-du-patient.playingEntity","","","",0,1,"","","","string {[]} {[]}
","Établissement de destination","Établissement de destination","","","","","","","","","",,,,,"",,,,"fr-transfert-du-patient.playingEntity",0,1,"",""
"fr-transfert-du-patient.name","fr-transfert-du-patient.name","","","",1,1,"","","","string {[]} {[]}
","Nom de l'établissement de destination","Nom de l'établissement de destination","","","","","","","","","",,,,,"",,,,"fr-transfert-du-patient.name",1,1,"",""
