"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-simple-observation","fr-simple-observation","","","",0,*,"","","","null {[]} {[]}
","FR-Simple-Observation","IHE-PCC - Simple-Observation                                                                Cette entrée est une entrée de base très peu contrainte sur lequel des contraintes spécifiques peuvent être appliquées sur les éléments ou les vocabulaires pour constituer d'autres types d'observations.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-simple-observation.observation","fr-simple-observation.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Simple observation","Entrée Simple observation","","","","","","","","","",,,,,"",,,,"fr-simple-observation.observation",0,1,"",""
"fr-simple-observation.id","fr-simple-observation.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-simple-observation.id",1,1,"",""
"fr-simple-observation.code","fr-simple-observation.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"fr-simple-observation.code",1,1,"",""
"fr-simple-observation.text","fr-simple-observation.text","","","",1,1,"","","","string {[]} {[]}
","Description narrative de l'observation","Description narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-simple-observation.text",1,1,"",""
"fr-simple-observation.reference","fr-simple-observation.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-simple-observation.reference",1,1,"",""
"fr-simple-observation.statusCode","fr-simple-observation.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","","","","",,,,,"",,,,"fr-simple-observation.statusCode",1,1,"",""
"fr-simple-observation.effectiveTime","fr-simple-observation.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Date de l'observation
                          L'élément <effectiveTime> doit être présent dans une observation autonome (c'est-à-dire une observatio...","Date de l'observation
                          L'élément <effectiveTime> doit être présent dans une observation autonome (c'est-à-dire une observatio...","","","","","","","","","",,,,,"",,,,"fr-simple-observation.effectiveTime",0,1,"",""
"fr-simple-observation.repeatNumber","fr-simple-observation.repeatNumber","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-simple-observation.repeatNumber",0,1,"",""
"fr-simple-observation.value","fr-simple-observation.value","","","",0,*,"","","","string {[]} {[]}
","Valeur de l'observation","Valeur de l'observation","","","","","","","","","",,,,,"",,,,"fr-simple-observation.value",0,*,"",""
"fr-simple-observation.interpretationCode","fr-simple-observation.interpretationCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_HL7_ObservationInterpretation_CISIS","OIDs: 2.16.840.1.113883.1.11.78","","","","","","","","","",,,,,"",,,,"fr-simple-observation.interpretationCode",0,1,"",""
"fr-simple-observation.methodCode","fr-simple-observation.methodCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Méthode","Méthode","","","","","","","","","",,,,,"",,,,"fr-simple-observation.methodCode",0,1,"",""
"fr-simple-observation.targetSiteCode","fr-simple-observation.targetSiteCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: SNOMED CT","OIDs: 2.16.840.1.113883.6.96","","","","","","","","","",,,,,"",,,,"fr-simple-observation.targetSiteCode",0,1,"",""
