"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-gravite-effet-indesirable","fr-gravite-effet-indesirable","","","",0,*,"","","","null {[]} {[]}
","FR-Gravite-effet-indesirable","Cette entrée permet de préciser la gravité d'un effet indésirable à un médicament. Il est utilisé exclusivement dans un lien ""entryRelationship"" grâce auquel il est lié à l’élément qu’il qualifie.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-gravite-effet-indesirable.observation","fr-gravite-effet-indesirable.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Gravité effet indesirable","Entrée Gravité effet indesirable","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-gravite-cisis|20250624152100","",,,,"fr-gravite-effet-indesirable.observation",0,1,"",""
"fr-gravite-effet-indesirable.code","fr-gravite-effet-indesirable.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-gravite-effet-indesirable.code",1,1,"",""
"fr-gravite-effet-indesirable.text","fr-gravite-effet-indesirable.text","","","",1,1,"","","","string {[]} {[]}
","Partie narrative de l'entrée","Partie narrative de l'entrée","","","","","","","","","",,,,,"",,,,"fr-gravite-effet-indesirable.text",1,1,"",""
"fr-gravite-effet-indesirable.statusCode","fr-gravite-effet-indesirable.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée
                        
                        Fixé à la valeur ""completed""","Statut de l'entrée
                        
                        Fixé à la valeur ""completed""","","","","","","","","","",,,,,"",,,,"fr-gravite-effet-indesirable.statusCode",1,1,"",""
"fr-gravite-effet-indesirable.value","fr-gravite-effet-indesirable.value","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Niveau de gravité","Niveau de gravité","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-gravite-cisis|20250624152100","",,,,"fr-gravite-effet-indesirable.value",1,1,"",""
