"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-quantite-de-produit","fr-quantite-de-produit","","","",0,*,"","","","null {[]} {[]}
","FR-Quantite-de-produit","IHE-PRE - Amount of units of the consumable                                                               Cette entrée permet de décrire la quantité de produit (<consumable>).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-quantite-de-produit.supply","fr-quantite-de-produit.supply","","","",1,1,"","","","string {[]} {[]}
","Entrée Quantité de produit","Entrée Quantité de produit","","","","","","","","","",,,,,"",,,,"fr-quantite-de-produit.supply",1,1,"",""
"fr-quantite-de-produit.independentInd","fr-quantite-de-produit.independentInd","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-quantite-de-produit.independentInd",1,1,"",""
"fr-quantite-de-produit.quantity","fr-quantite-de-produit.quantity","","","",1,1,"","","","string {[]} {[]}
","Quantité de produit
                         
                        
                             Si l'élément <consumable> auquel cette entrée est ...","Quantité de produit
                         
                        
                             Si l'élément <consumable> auquel cette entrée est ...","","","","","","","","","",,,,,"",,,,"fr-quantite-de-produit.quantity",1,1,"",""
