"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-reference-item-dispensation","fr-reference-item-dispensation","","","",0,*,"","","","null {[]} {[]}
","FR-Reference-item-dispensation","IHE-PRE - Reference-Dispense-Item","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-reference-item-dispensation.substanceAdministration","fr-reference-item-dispensation.substanceAdministration","","","",1,1,"","","","string {[]} {[]}
","Entrée Référence item dispensation","Entrée Référence item dispensation","","","","","","","","","",,,,,"",,,,"fr-reference-item-dispensation.substanceAdministration",1,1,"",""
"fr-reference-item-dispensation.id","fr-reference-item-dispensation.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-reference-item-dispensation.id",1,1,"",""
"fr-reference-item-dispensation.code","fr-reference-item-dispensation.code","","","",1,1,"","","","code {[]} {[]}
","Code de l’entrée","Code de l’entrée","","","","","","","","","",,,,,"",,,,"fr-reference-item-dispensation.code",1,1,"",""
"fr-reference-item-dispensation.consumable","fr-reference-item-dispensation.consumable","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-reference-item-dispensation.consumable",1,1,"",""
"fr-reference-item-dispensation.manufacturedProduct","fr-reference-item-dispensation.manufacturedProduct","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-reference-item-dispensation.manufacturedProduct",1,1,"",""
"fr-reference-item-dispensation.manufacturedMaterial","fr-reference-item-dispensation.manufacturedMaterial","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-reference-item-dispensation.manufacturedMaterial",1,1,"",""
"fr-reference-item-dispensation.entryRelationship","fr-reference-item-dispensation.entryRelationship","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-reference-item-dispensation.entryRelationship",0,1,"",""
"fr-reference-item-dispensation.reference","fr-reference-item-dispensation.reference","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-reference-item-dispensation.reference",0,1,"",""
"fr-reference-item-dispensation.externalDocument","fr-reference-item-dispensation.externalDocument","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-reference-item-dispensation.externalDocument",1,1,"",""
