"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-liste-des-problemes","fr-liste-des-problemes","","","",0,*,"","","","null {[]} {[]}
","FR-Liste-des-problemes","IHE-PCC - Problem-Concern                                                               Cette entrée permet de regrouper des informations relatives aux pathologies non-allergiques du patient. Elle regroupe des entrées FR-Probleme qui décrivent chacun une pathologie.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-liste-des-problemes.act","fr-liste-des-problemes.act","","","",0,1,"","","","string {[]} {[]}
","Entrée Liste des problèmes","Entrée Liste des problèmes","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-liste-des-problemes.act",0,1,"",""
"fr-liste-des-problemes.id","fr-liste-des-problemes.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-liste-des-problemes.id",1,1,"",""
"fr-liste-des-problemes.statusCode","fr-liste-des-problemes.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-liste-des-problemes.statusCode",1,1,"",""
"fr-liste-des-problemes.code","fr-liste-des-problemes.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-liste-des-problemes.code",1,1,"",""
"fr-liste-des-problemes.effectiveTime","fr-liste-des-problemes.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date de début et de fin du problème","Date de début et de fin du problème","","","","","","","","","",,,,,"",,,,"fr-liste-des-problemes.effectiveTime",1,1,"",""
"fr-liste-des-problemes.low","fr-liste-des-problemes.low","","","",1,1,"","","","string {[]} {[]}
","Date du début","Date du début","","","","","","","","","",,,,,"",,,,"fr-liste-des-problemes.low",1,1,"",""
"fr-liste-des-problemes.high","fr-liste-des-problemes.high","","","",0,1,"","","","string {[]} {[]}
","Date de fin","Date de fin","","","","","","","","","",,,,,"",,,,"fr-liste-des-problemes.high",0,1,"",""
