"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-statut-document","fr-statut-document","","","",0,*,"","","","null {[]} {[]}
","FR-Statut-document","Cette entrée permet d'indiquer le statut du document (son état d'avancement dans le cycle de vie du document, depuis sa création jusqu'à sa validation définitive par son responsable légal (élément ""legalAuthenticator"" de l'en-tête) ainsi que la date de ce statut.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-statut-document.observation","fr-statut-document.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Statut du document","Entrée Statut du document","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-statut-document-cisis|20251028115834","",,,,"fr-statut-document.observation",0,1,"",""
"fr-statut-document.id","fr-statut-document.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-statut-document.id",1,1,"",""
"fr-statut-document.code","fr-statut-document.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-statut-document.code",1,1,"",""
"fr-statut-document.text","fr-statut-document.text","","","",1,1,"","","","string {[]} {[]}
","Partie narrative de l'entrée","Partie narrative de l'entrée","","","","","","","","","",,,,,"",,,,"fr-statut-document.text",1,1,"",""
"fr-statut-document.reference","fr-statut-document.reference","","","",1,1,"","","","string {[]} {[]}
","Référence qui renvoit à la partie narrative de la section","Référence qui renvoit à la partie narrative de la section","","","","","","","","","",,,,,"",,,,"fr-statut-document.reference",1,1,"",""
"fr-statut-document.statusCode","fr-statut-document.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,,,,"",,,,"fr-statut-document.statusCode",1,1,"",""
"fr-statut-document.effectiveTime","fr-statut-document.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date du statut du document","Date du statut du document","","","","","","","","","",,,,,"",,,,"fr-statut-document.effectiveTime",1,1,"",""
"fr-statut-document.value","fr-statut-document.value","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Statut du document
                          Dans le cas où aucune réponse n'est disponible, la valeur nullFlavor=""UNK"" est autorisée.","Statut du document
                          Dans le cas où aucune réponse n'est disponible, la valeur nullFlavor=""UNK"" est autorisée.","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-statut-document-cisis|20251028115834","",,,,"fr-statut-document.value",1,1,"",""
