"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-rang-de-la-vaccination","fr-rang-de-la-vaccination","","","",0,*,"","","","null {[]} {[]}
","FR-Rang-de-la-vaccination","CDA -  Medication series number observation                                                               Cette entrée permet de préciser le rang de la vaccination dans une série d'injections vaccinantes.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-rang-de-la-vaccination.observation","fr-rang-de-la-vaccination.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Rang de la vaccination","Entrée Rang de la vaccination","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActPriority-cisis|20251028115833","",,,,"fr-rang-de-la-vaccination.observation",0,1,"",""
"fr-rang-de-la-vaccination.id","fr-rang-de-la-vaccination.id","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-rang-de-la-vaccination.id",0,*,"",""
"fr-rang-de-la-vaccination.code","fr-rang-de-la-vaccination.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-rang-de-la-vaccination.code",1,1,"",""
"fr-rang-de-la-vaccination.derivationExpr","fr-rang-de-la-vaccination.derivationExpr","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-rang-de-la-vaccination.derivationExpr",0,1,"",""
"fr-rang-de-la-vaccination.text","fr-rang-de-la-vaccination.text","","","",0,1,"","","","string {[]} {[]}
","Partie narrative de l’entrée","Partie narrative de l’entrée","","","","","","","","","",,,,,"",,,,"fr-rang-de-la-vaccination.text",0,1,"",""
"fr-rang-de-la-vaccination.statusCode","fr-rang-de-la-vaccination.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-rang-de-la-vaccination.statusCode",1,1,"",""
"fr-rang-de-la-vaccination.effectiveTime","fr-rang-de-la-vaccination.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Date de l’observation","Date de l’observation","","","","","","","","","",,,,,"",,,,"fr-rang-de-la-vaccination.effectiveTime",0,1,"",""
"fr-rang-de-la-vaccination.priorityCode","fr-rang-de-la-vaccination.priorityCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Priorité","Priorité","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActPriority-cisis|20251028115833","",,,,"fr-rang-de-la-vaccination.priorityCode",0,1,"",""
"fr-rang-de-la-vaccination.repeatNumber","fr-rang-de-la-vaccination.repeatNumber","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-rang-de-la-vaccination.repeatNumber",0,1,"",""
"fr-rang-de-la-vaccination.languageCode","fr-rang-de-la-vaccination.languageCode","","","",0,1,"","","","code {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-rang-de-la-vaccination.languageCode",0,1,"",""
"fr-rang-de-la-vaccination.value","fr-rang-de-la-vaccination.value","","","",1,1,"","","","integer {[]} {[]}
","Rang de la vaccination","Rang de la vaccination","","","","","","","","","",,,,,"",,,,"fr-rang-de-la-vaccination.value",1,1,"",""
