"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-prelevement","fr-prelevement","","","",0,*,"","","","null {[]} {[]}
","FR-Prelevement","IHE-PCC - Specimen collection                                                               L'élément 'Prélèvement' est un élément de type 'procedure' qui permet de décrire le prélèvement et l'échantillon biologique (le matériel).                                                                      ...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-prelevement.procedure","fr-prelevement.procedure","","","",0,1,"","","","string {[]} {[]}
","Entrée Prélèvement","Entrée Prélèvement","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-specimen-type-cisis|20251028115833","",,,,"fr-prelevement.procedure",0,1,"",""
"fr-prelevement.code","fr-prelevement.code","","","",0,1,"","","","string {[]} {[]}
","Terminologies: LOINC","Acte de prélèvement
                         
                        
                            Pour un prélèvement en vue d'examen de biologie méd...","","","","","","","","","",,,,,"",,,,"fr-prelevement.code",0,1,"",""
"fr-prelevement.effectiveTime","fr-prelevement.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date du prélèvement
                          La date et heure de prélèvement doit être renseignée si elle est connue. En cas d'acte ponctuel, c'est l...","Date du prélèvement
                          La date et heure de prélèvement doit être renseignée si elle est connue. En cas d'acte ponctuel, c'est l...","","","","","","","","","",,,,,"",,,,"fr-prelevement.effectiveTime",1,1,"",""
"fr-prelevement.targetSiteCode","fr-prelevement.targetSiteCode","","","",0,1,"","","","string {[]} {[]}
","Terminologies: SNOMED CT","Localisation du prélèvement
                        
                        
                            SNOMED CT (
                            2.16...","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-prelevement.targetSiteCode",0,1,"",""
"fr-prelevement.originalText","fr-prelevement.originalText","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-prelevement.originalText",0,1,"",""
"fr-prelevement.reference","fr-prelevement.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-prelevement.reference",1,1,"",""
"fr-prelevement.qualifier","fr-prelevement.qualifier","","","",0,*,"","","","string {[]} {[]}
","Précision topographique","Précision topographique","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-prelevement.qualifier",0,*,"",""
"fr-prelevement.name","fr-prelevement.name","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-prelevement.name",1,1,"",""
"fr-prelevement.value","fr-prelevement.value","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Valeur de la topographie","Valeur de la topographie","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-prelevement.value",1,1,"",""
"fr-prelevement.participant","fr-prelevement.participant","","","",1,1,"","","","string {[]} {[]}
","Échantillon prélevé","Échantillon prélevé","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-specimen-type-cisis|20251028115833","",,,,"fr-prelevement.participant",1,1,"",""
"fr-prelevement.participantRole","fr-prelevement.participantRole","","","",1,1,"","","","string {[]} {[]}
","Identifiant de l'échantillon
                                  L'identifiant de l'échantillon est éventuellement multiple (premier identifiant attribu...","Identifiant de l'échantillon
                                  L'identifiant de l'échantillon est éventuellement multiple (premier identifiant attribu...","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-specimen-type-cisis|20251028115833","",,,,"fr-prelevement.participantRole",1,1,"",""
"fr-prelevement.id","fr-prelevement.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'échantillon
                                  L'identifiant de l'échantillon est éventuellement multiple (premier identifiant attribu...","Identifiant de l'échantillon
                                  L'identifiant de l'échantillon est éventuellement multiple (premier identifiant attribu...","","","","","","","","","",,,,,"",,,,"fr-prelevement.id",1,1,"",""
"fr-prelevement.playingEntity","fr-prelevement.playingEntity","","","",1,1,"","","","string {[]} {[]}
","Nature de l'échantillon","Nature de l'échantillon","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-specimen-type-cisis|20251028115833","",,,,"fr-prelevement.playingEntity",1,1,"",""
"fr-prelevement.quantity","fr-prelevement.quantity","","","",0,1,"","","","string {[]} {[]}
","Quantité
                                      La quantité est exprimée en valeur (@value) et unité de mesure (@unit). Si le volume est renseigné alor...","Quantité
                                      La quantité est exprimée en valeur (@value) et unité de mesure (@unit). Si le volume est renseigné alor...","","","","","","","","","",,,,,"",,,,"fr-prelevement.quantity",0,1,"",""
"fr-prelevement.playingDevice","fr-prelevement.playingDevice","","","",1,1,"","","","string {[]} {[]}
","Code du dispositif
                                    
                                    
                                        
                ...","Code du dispositif
                                    
                                    
                                        
                ...","","","","","","","","","",,,,,"",,,,"fr-prelevement.playingDevice",1,1,"",""
"fr-prelevement.entryRelationship","fr-prelevement.entryRelationship","","","",0,1,"","","","string {[]} {[]}
","Date de réception de l'échantillon","Date de réception de l'échantillon","","","","","","","","","",,,,,"",,,,"fr-prelevement.entryRelationship",0,1,"",""
"fr-prelevement.act","fr-prelevement.act","","","",1,1,"","","","string {[]} {[]}
","Date de réception de l'échantillon","Date de réception de l'échantillon","","","","","","","","","",,,,,"",,,,"fr-prelevement.act",1,1,"",""
