"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-traitement-dispense","fr-traitement-dispense","","","",0,*,"","","","null {[]} {[]}
","FR-Traitement-dispense","IHE PHARM DIS - DispenseItemEntry                                                               Cette entrée de type supply permet de décrire un traitement dispensé avec notamment le médicament dispensé, la quantité et la référence de la prescription.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-traitement-dispense.supply","fr-traitement-dispense.supply","","","",0,1,"","","","string {[]} {[]}
","Entrée FR-Traitement-dispense","Entrée FR-Traitement-dispense","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-completude-dispensation-cisis|20251028115831","",,,,"fr-traitement-dispense.supply",0,1,"",""
"fr-traitement-dispense.id","fr-traitement-dispense.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l’entrée
                        Sous la forme UID (UUID ou OID)","Identifiant de l’entrée
                        Sous la forme UID (UUID ou OID)","","","","","","","","","",,,,,"",,,,"fr-traitement-dispense.id",1,1,"",""
"fr-traitement-dispense.code","fr-traitement-dispense.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_CompletudeDispensation_CISIS","OIDs: 1.2.250.1.213.1.1.5.765","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-completude-dispensation-cisis|20251028115831","",,,,"fr-traitement-dispense.code",0,1,"",""
"fr-traitement-dispense.text","fr-traitement-dispense.text","","","",1,1,"","","","string {[]} {[]}
","Texte de l'entrée","Texte de l'entrée","","","","","","","","","",,,,,"",,,,"fr-traitement-dispense.text",1,1,"",""
"fr-traitement-dispense.reference","fr-traitement-dispense.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-traitement-dispense.reference",1,1,"",""
"fr-traitement-dispense.quantity","fr-traitement-dispense.quantity","","","",1,1,"","","","Quantity {[]} {[]}
","Quantité : Unité issue de EDQM Packaging","Quantité : Unité issue de EDQM Packaging","","","","","","","","","",,,,,"",,,,"fr-traitement-dispense.quantity",1,1,"",""
"fr-traitement-dispense.product","fr-traitement-dispense.product","","","",1,1,"","","","string {[]} {[]}
","Médicament délivré","Médicament délivré","","","","","","","","","",,,,,"",,,,"fr-traitement-dispense.product",1,1,"",""
"fr-traitement-dispense.entryRelationship","fr-traitement-dispense.entryRelationship","","","",0,1,"","","","string {[]} {[]}
","Référence de la prescription","Référence de la prescription","","","","","","","","","",,,,,"",,,,"fr-traitement-dispense.entryRelationship",0,1,"",""
