"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-evenement-indesirable-pendant-hospitalisation","fr-evenement-indesirable-pendant-hospitalisation","","","",0,*,"","","","null {[]} {[]}
","FR-Evenement-indesirable-pendant-hospitalisation","Cette entrée permet de décrire sous forme textuelle des événements indésirables survenus pendant l'hospitalisation.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-evenement-indesirable-pendant-hospitalisation.observation","fr-evenement-indesirable-pendant-hospitalisation.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Evènements indésirables pendant l'hospitalisation","Entrée Evènements indésirables pendant l'hospitalisation","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-pendant-hospitalisation.observation",0,1,"",""
"fr-evenement-indesirable-pendant-hospitalisation.id","fr-evenement-indesirable-pendant-hospitalisation.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-pendant-hospitalisation.id",1,1,"",""
"fr-evenement-indesirable-pendant-hospitalisation.code","fr-evenement-indesirable-pendant-hospitalisation.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-pendant-hospitalisation.code",1,1,"",""
"fr-evenement-indesirable-pendant-hospitalisation.text","fr-evenement-indesirable-pendant-hospitalisation.text","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-pendant-hospitalisation.text",1,1,"",""
"fr-evenement-indesirable-pendant-hospitalisation.reference","fr-evenement-indesirable-pendant-hospitalisation.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-pendant-hospitalisation.reference",1,1,"",""
"fr-evenement-indesirable-pendant-hospitalisation.statusCode","fr-evenement-indesirable-pendant-hospitalisation.statusCode","","","",1,1,"","","","code {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-pendant-hospitalisation.statusCode",1,1,"",""
"fr-evenement-indesirable-pendant-hospitalisation.effectiveTime","fr-evenement-indesirable-pendant-hospitalisation.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-pendant-hospitalisation.effectiveTime",1,1,"",""
"fr-evenement-indesirable-pendant-hospitalisation.value","fr-evenement-indesirable-pendant-hospitalisation.value","","","",1,1,"","","","string {[]} {[]}
","Description sous forme textuelle des évènements indésirables survenus pendant l'hospitalisation.","Description sous forme textuelle des évènements indésirables survenus pendant l'hospitalisation.","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-pendant-hospitalisation.value",1,1,"",""
