"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-commentaire-er","fr-commentaire-er","","","",0,*,"","","","null {[]} {[]}
","FR-Commentaire-ER","IHE-PCC - Comments                                   L’entrée FR-Commentaire-ER est un élément qui permet de joindre un commentaire à une entrée ou à une section.                                                                 Note : IHE PCC a limité l’utilisation de l’élément « Comments » (1.3.6.1....","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-commentaire-er.act","fr-commentaire-er.act","","","",0,1,"","","","string {[]} {[]}
","Entrée Commentaire","Entrée Commentaire","","","","","","","","","",,,,,"",,,,"fr-commentaire-er.act",0,1,"",""
"fr-commentaire-er.code","fr-commentaire-er.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-commentaire-er.code",1,1,"",""
"fr-commentaire-er.text","fr-commentaire-er.text","","","",1,1,"","","","string {[]} {[]}
","Texte du commentaire","Texte du commentaire","","","","","","","","","",,,,,"",,,,"fr-commentaire-er.text",1,1,"",""
"fr-commentaire-er.reference","fr-commentaire-er.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-commentaire-er.reference",1,1,"",""
"fr-commentaire-er.statusCode","fr-commentaire-er.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée
                        
                        Fixé à la valeur ""completed""","Statut de l'entrée
                        
                        Fixé à la valeur ""completed""","","","","","","","","","",,,,,"",,,,"fr-commentaire-er.statusCode",1,1,"",""
