"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-hors-amm","fr-hors-amm","","","",0,*,"","","","null {[]} {[]}
","FR-Hors-AMM","IHE-PCC - Simple-Observation                 Cette observation permet d'indiquer si le traitement auquel elle est associée est hors AMM.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-hors-amm.observation","fr-hors-amm.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Hors Autorisation de Mise sur le Marché (AMM)","Entrée Hors Autorisation de Mise sur le Marché (AMM)","","","","","","","","","",,,,,"",,,,"fr-hors-amm.observation",0,1,"",""
"fr-hors-amm.id","fr-hors-amm.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-hors-amm.id",1,1,"",""
"fr-hors-amm.code","fr-hors-amm.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de l'entrée","Type de l'entrée","","","","","","","","","",,,,,"",,,,"fr-hors-amm.code",1,1,"",""
"fr-hors-amm.text","fr-hors-amm.text","","","",1,1,"","","","string {[]} {[]}
","Partie narrative de l'entrée","Partie narrative de l'entrée","","","","","","","","","",,,,,"",,,,"fr-hors-amm.text",1,1,"",""
"fr-hors-amm.reference","fr-hors-amm.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-hors-amm.reference",1,1,"",""
"fr-hors-amm.statusCode","fr-hors-amm.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée
                        
                        Fixé à la valeur ""completed""","Statut de l'entrée
                        
                        Fixé à la valeur ""completed""","","","","","","","","","",,,,,"",,,,"fr-hors-amm.statusCode",1,1,"",""
"fr-hors-amm.effectiveTime","fr-hors-amm.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Horodatage de l'entrée","Horodatage de l'entrée","","","","","","","","","",,,,,"",,,,"fr-hors-amm.effectiveTime",0,1,"",""
"fr-hors-amm.value","fr-hors-amm.value","","","",1,1,"","","","boolean {[]} {[]}
","Résultat
                             L'attribut @value pourra prendre l'une des deux valeurs suivantes :
                        
                   ...","Résultat
                             L'attribut @value pourra prendre l'une des deux valeurs suivantes :
                        
                   ...","","","","","","","","","",,,,,"",,,,"fr-hors-amm.value",1,1,"",""
