"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-echantillon-identifiant","fr-echantillon-identifiant","","","",0,*,"","","","null {[]} {[]}
","FR-Echantillon-identifiant","IHE-APSR - X Specimen Identified                                                               Identifiant de l'échantillon.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-echantillon-identifiant.specimen","fr-echantillon-identifiant.specimen","","","",0,1,"","","","string {[]} {[]}
","Identifiant de l'échantillon","Identifiant de l'échantillon","","","","","","","","","",,,,,"",,,,"fr-echantillon-identifiant.specimen",0,1,"",""
"fr-echantillon-identifiant.specimenRole","fr-echantillon-identifiant.specimenRole","","","",1,1,"","","","string {[]} {[]}
","Identifiant de l'échantillon","Identifiant de l'échantillon","","","","","","","","","",,,,,"",,,,"fr-echantillon-identifiant.specimenRole",1,1,"",""
"fr-echantillon-identifiant.id","fr-echantillon-identifiant.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'échantillon","Identifiant de l'échantillon","","","","","","","","","",,,,,"",,,,"fr-echantillon-identifiant.id",1,1,"",""
