"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-evaluation","fr-evaluation","","","",0,*,"","","","null {[]} {[]}
","FR-Evaluation","IHE-PCC - Survey Observation                                                                L'entrée Evaluation permet de rapporter un résultat (score) répondant à une question faisant partie d'une évaluation (questionnaire d'enquête par exemple).                                                     ...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-evaluation.observation","fr-evaluation.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Evaluation","Entrée Evaluation","","","","","","","","","",,,,,"",,,,"fr-evaluation.observation",0,1,"",""
"fr-evaluation.id","fr-evaluation.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l’entrée","Identifiant de l’entrée","","","","","","","","","",,,,,"",,,,"fr-evaluation.id",1,1,"",""
"fr-evaluation.code","fr-evaluation.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: LOINC","OIDs: 2.16.840.1.113883.6.1, 2.16.840.1.113883.6.254","","","","","","","","","",,,,,"",,,,"fr-evaluation.code",1,1,"",""
"fr-evaluation.translation","fr-evaluation.translation","","","",0,1,"","","","CodeableConcept {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-evaluation.translation",0,1,"",""
"fr-evaluation.text","fr-evaluation.text","","","",1,1,"","","","string {[]} {[]}
","Description narrative","Description narrative","","","","","","","","","",,,,,"",,,,"fr-evaluation.text",1,1,"",""
"fr-evaluation.reference","fr-evaluation.reference","","","",1,1,"","","","string {[]} {[]}
","Référence vers la partie narrative de la section","Référence vers la partie narrative de la section","","","","","","","","","",,,,,"",,,,"fr-evaluation.reference",1,1,"",""
"fr-evaluation.statusCode","fr-evaluation.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l’entrée
                        
                        Fixé à la valeur ""completed""","Statut de l’entrée
                        
                        Fixé à la valeur ""completed""","","","","","","","","","",,,,,"",,,,"fr-evaluation.statusCode",1,1,"",""
"fr-evaluation.effectiveTime","fr-evaluation.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date","Date","","","","","","","","","",,,,,"",,,,"fr-evaluation.effectiveTime",1,1,"",""
"fr-evaluation.value","fr-evaluation.value","","","",1,1,"","","","string {[]} {[]}
","Valeur de l'évaluation
                        
                        Le type (code) et la valeur de la mesure (réponse) dépendent du volet utilisan...","Valeur de l'évaluation
                        
                        Le type (code) et la valeur de la mesure (réponse) dépendent du volet utilisan...","","","","","","","","","",,,,,"",,,,"fr-evaluation.value",1,1,"",""
"fr-evaluation.interpretationCode","fr-evaluation.interpretationCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Interprétation
                        
                        Un code d’interprétation de la valeur pourra être utilisé pour donner une évaluation d...","Interprétation
                        
                        Un code d’interprétation de la valeur pourra être utilisé pour donner une évaluation d...","","","","","","","","","",,,,,"",,,,"fr-evaluation.interpretationCode",0,1,"",""
"fr-evaluation.entryRelationship","fr-evaluation.entryRelationship","","","",0,*,"","","","string {[]} {[]}
","Composants de l'évaluation","Composants de l'évaluation","","","","","","","","","",,,,,"",,,,"fr-evaluation.entryRelationship",0,*,"",""
