"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-composant-score-nihss","fr-composant-score-nihss","","","",0,*,"","","","null {[]} {[]}
","FR-Composant-score-NIHSS","L'entrée Composant du score NIHSS est une entrée de type observation qui permet de décrire un composant du score NIHSS global sur l'échelle des accidents vasculaires cérébraux.                                                                                                     Cette entrée est liée à...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-composant-score-nihss.observation","fr-composant-score-nihss.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Composant score NIHSS","Entrée Composant score NIHSS","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-nihss-dysarthrie-cisis|20251028115834","",,,,"fr-composant-score-nihss.observation",0,1,"",""
"fr-composant-score-nihss.id","fr-composant-score-nihss.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-composant-score-nihss.id",1,1,"",""
"fr-composant-score-nihss.code","fr-composant-score-nihss.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Fonction testée","Fonction testée","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-nihss-fonction-cisis|20251028115835","",,,,"fr-composant-score-nihss.code",1,1,"",""
"fr-composant-score-nihss.text","fr-composant-score-nihss.text","","","",1,1,"","","","string {[]} {[]}
","Partie narrative de l'entrée","Partie narrative de l'entrée","","","","","","","","","",,,,,"",,,,"fr-composant-score-nihss.text",1,1,"",""
"fr-composant-score-nihss.reference","fr-composant-score-nihss.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-composant-score-nihss.reference",1,1,"",""
"fr-composant-score-nihss.statusCode","fr-composant-score-nihss.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,,,,"",,,,"fr-composant-score-nihss.statusCode",1,1,"",""
"fr-composant-score-nihss.effectiveTime","fr-composant-score-nihss.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Horodatage de l'observation","Horodatage de l'observation","","","","","","","","","",,,,,"",,,,"fr-composant-score-nihss.effectiveTime",1,1,"",""
"fr-composant-score-nihss.value","fr-composant-score-nihss.value","","","",1,1,"","","","string {[]} {[]}
","Résultat du test","Résultat du test","","","","","","","","","",,,,,"",,,,"fr-composant-score-nihss.value",1,1,"",""
"fr-composant-score-nihss.interpretationCode","fr-composant-score-nihss.interpretationCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Interprétation","Interprétation","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-nihss-dysarthrie-cisis|20251028115834","",,,,"fr-composant-score-nihss.interpretationCode",0,1,"",""
