"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-statut-du-dossier-presente-en-rcp","fr-statut-du-dossier-presente-en-rcp","","","",0,*,"","","","null {[]} {[]}
","FR-Statut-du-dossier-presente-en-RCP","Cette entrée de type organizer permet de regrouper des informations relatives au dossier du patient.                                                                    Les éléments component de cet organizer sont des entrées de type FR-Simple-Observation (1.3.6.1.4.1.19376.1.5.3.1.4.13).            ...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-statut-du-dossier-presente-en-rcp.organizer","fr-statut-du-dossier-presente-en-rcp.organizer","","","",0,1,"","","","string {[]} {[]}
","Entrée Statut du dossier présenté en RCP","Entrée Statut du dossier présenté en RCP","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/1.2.250.1.213.1.1.4.2.281.16","",,,,"fr-statut-du-dossier-presente-en-rcp.organizer",0,1,"",""
"fr-statut-du-dossier-presente-en-rcp.id","fr-statut-du-dossier-presente-en-rcp.id","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-statut-du-dossier-presente-en-rcp.id",0,1,"",""
"fr-statut-du-dossier-presente-en-rcp.code","fr-statut-du-dossier-presente-en-rcp.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-statut-du-dossier-presente-en-rcp.code",1,1,"",""
"fr-statut-du-dossier-presente-en-rcp.statusCode","fr-statut-du-dossier-presente-en-rcp.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,,,,"",,,,"fr-statut-du-dossier-presente-en-rcp.statusCode",1,1,"",""
"fr-statut-du-dossier-presente-en-rcp.effectiveTime","fr-statut-du-dossier-presente-en-rcp.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Date de l'entrée","Date de l'entrée","","","","","","","","","",,,,,"",,,,"fr-statut-du-dossier-presente-en-rcp.effectiveTime",0,1,"",""
"fr-statut-du-dossier-presente-en-rcp.observation","fr-statut-du-dossier-presente-en-rcp.observation","","","",1,1,"","","","string {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-statut-du-dossier-presente-en-rcp.observation",1,1,"",""
"fr-statut-du-dossier-presente-en-rcp.text","fr-statut-du-dossier-presente-en-rcp.text","","","",1,1,"","","","string {[]} {[]}
","Bloc narratif","Bloc narratif","","","","","","","","","",,,,,"",,,,"fr-statut-du-dossier-presente-en-rcp.text",1,1,"",""
"fr-statut-du-dossier-presente-en-rcp.reference","fr-statut-du-dossier-presente-en-rcp.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-statut-du-dossier-presente-en-rcp.reference",1,1,"",""
"fr-statut-du-dossier-presente-en-rcp.value","fr-statut-du-dossier-presente-en-rcp.value","","","",1,1,"","","","boolean {[]} {[]}
","Dossier complet  (true/false)","Dossier complet  (true/false)","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/1.2.250.1.213.1.1.4.2.281.16","",,,,"fr-statut-du-dossier-presente-en-rcp.value",1,1,"",""
