"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-reference-interne","fr-reference-interne","","","",0,*,"","","","null {[]} {[]}
","FR-Reference-interne","IHE-PCC - Internal-Reference                                                               L'élément Référence interne est un élément de type 'act' à l'intérieur d'un 'entryRelationship' qui permet de relier un élément à un autre élément du même document par l'intermédiaire son identifiant 'id'.    ...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-reference-interne.act","fr-reference-interne.act","","","",0,1,"","","","string {[]} {[]}
","Entrée Référence interne","Entrée Référence interne","","","","","","","","","",,,,,"",,,,"fr-reference-interne.act",0,1,"",""
"fr-reference-interne.id","fr-reference-interne.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-reference-interne.id",1,1,"",""
"fr-reference-interne.code","fr-reference-interne.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'élément référencé
                          Le 'code' est obligatoire et doit être identique au code de l'élément référencé.  Si l'élément r...","Code de l'élément référencé
                          Le 'code' est obligatoire et doit être identique au code de l'élément référencé.  Si l'élément r...","","","","","","","","","",,,,,"",,,,"fr-reference-interne.code",1,1,"",""
