"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-dicom-quantite","fr-dicom-quantite","","","",0,*,"","","","null {[]} {[]}
","FR-DICOM-Quantite","DICOM Part 20 - Quantity Measurement                 Cette entrée permet d’enregistrer les mesures quantitatives telles que les mesures linéaires, les mesures de surface, de volume et numériques en précisant :                                                               Le type de la mesure,       ...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-dicom-quantite.observation","fr-dicom-quantite.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée FR-DICOM-Quantite","Entrée FR-DICOM-Quantite","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-dicom-quantite.observation",0,1,"",""
"fr-dicom-quantite.id","fr-dicom-quantite.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-dicom-quantite.id",1,1,"",""
"fr-dicom-quantite.code","fr-dicom-quantite.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-quantite-exposition-rayonnements-cisis|20251028115832","",,,,"fr-dicom-quantite.code",1,1,"",""
"fr-dicom-quantite.text","fr-dicom-quantite.text","","","",0,1,"","","","string {[]} {[]}
","Partie narrative de l'entrée","Partie narrative de l'entrée","","","","","","","","","",,,,,"",,,,"fr-dicom-quantite.text",0,1,"",""
"fr-dicom-quantite.reference","fr-dicom-quantite.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-quantite.reference",1,1,"",""
"fr-dicom-quantite.statusCode","fr-dicom-quantite.statusCode","","","",1,1,"","","","code {[]} {[]}
","Status de l'entrée","Status de l'entrée","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-dicom-quantite.statusCode",1,1,"",""
"fr-dicom-quantite.effectiveTime","fr-dicom-quantite.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Date de l'entrée","Date de l'entrée","","","","","","","","","",,,,,"",,,,"fr-dicom-quantite.effectiveTime",0,1,"",""
"fr-dicom-quantite.value","fr-dicom-quantite.value","","","",1,1,"","","","Quantity {[]} {[]}
","Quantité mesurée","Quantité mesurée","","","","","","","","","",,,,,"",,,,"fr-dicom-quantite.value",1,1,"",""
"fr-dicom-quantite.interpretationCode","fr-dicom-quantite.interpretationCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","non utilisé","non utilisé","","","","","","","","","",,,,,"",,,,"fr-dicom-quantite.interpretationCode",0,1,"",""
"fr-dicom-quantite.methodCode","fr-dicom-quantite.methodCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","non utilisé","non utilisé","","","","","","","","","",,,,,"",,,,"fr-dicom-quantite.methodCode",0,1,"",""
"fr-dicom-quantite.targetSiteCode","fr-dicom-quantite.targetSiteCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_LocalisationAnatomique_CISIS","OIDs: 1.2.250.1.213.1.1.5.694","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-dicom-quantite.targetSiteCode",1,1,"",""
"fr-dicom-quantite.originalText","fr-dicom-quantite.originalText","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-quantite.originalText",0,1,"",""
"fr-dicom-quantite.qualifier","fr-dicom-quantite.qualifier","","","",0,1,"","","","string {[]} {[]}
","Précision topographique","Précision topographique","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-dicom-quantite.qualifier",0,1,"",""
"fr-dicom-quantite.name","fr-dicom-quantite.name","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-quantite.name",1,1,"",""
