"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-observationtnm","fr-observationtnm","","","",0,*,"","","","null {[]} {[]}
","FR-ObservationTNM","IHE-APSR - TNMStageObservation                                                                                                               Cette entrée n’est utilisable que dans une entrée FR-Liste-des-observations (1.3.6.1.4.1.19376.1.8.1.3.6). Cette entrée est basée sur l’entrée FR-Observation-A...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-observationtnm.observation","fr-observationtnm.observation","","","",0,*,"","","","string {[]} {[]}
","Entrée Observation TNM","Entrée Observation TNM","","","","","","","","","",,,,,"",,,,"fr-observationtnm.observation",0,*,"",""
"fr-observationtnm.id","fr-observationtnm.id","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-observationtnm.id",0,*,"",""
"fr-observationtnm.code","fr-observationtnm.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"fr-observationtnm.code",1,1,"",""
"fr-observationtnm.text","fr-observationtnm.text","","","",0,1,"","","","string {[]} {[]}
","Description narrative de l'observation","Description narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-observationtnm.text",0,1,"",""
"fr-observationtnm.statusCode","fr-observationtnm.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation
                          ""completed"" si l'observation a été effectuée et porte une valeur dans l'élément ""value"".  ""aborted"" ...","Statut de l'observation
                          ""completed"" si l'observation a été effectuée et porte une valeur dans l'élément ""value"".  ""aborted"" ...","","","","","","","","","",,,,,"",,,,"fr-observationtnm.statusCode",1,1,"",""
"fr-observationtnm.effectiveTime","fr-observationtnm.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date et heure de l'observation","Date et heure de l'observation","","","","","","","","","",,,,,"",,,,"fr-observationtnm.effectiveTime",1,1,"",""
"fr-observationtnm.value","fr-observationtnm.value","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Valeur de l'observation
                         Le type de donnée et les valeurs dépendent de la donnée exprimée.  Les résultats numériques utilisent...","Valeur de l'observation
                         Le type de donnée et les valeurs dépendent de la donnée exprimée.  Les résultats numériques utilisent...","","","","","","","","","",,,,,"",,,,"fr-observationtnm.value",0,1,"",""
