"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-traitement-subordonne","fr-traitement-subordonne","","","",0,*,"","","","null {[]} {[]}
","FR-Traitement-subordonne","Une entrée FR-Traitement de premier niveau peut contenir une ou plusieurs sous-entrées FR-Traitement-subordonne pour les cas spécifiques des dosages progressifs, fractionnés ou conditionnels, ou pour gérer la combinaison de médicaments.                  L’utilisation de sous-entrées FR-Traitement-su...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-traitement-subordonne.substanceAdministration","fr-traitement-subordonne.substanceAdministration","","","",1,1,"","","","string {[]} {[]}
","Entrée Traitement subordonné","Entrée Traitement subordonné","","","","","","","","","",,,,,"",,,,"fr-traitement-subordonne.substanceAdministration",1,1,"",""
"fr-traitement-subordonne.id","fr-traitement-subordonne.id","","","",1,*,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-traitement-subordonne.id",1,*,"",""
"fr-traitement-subordonne.text","fr-traitement-subordonne.text","","","",1,1,"","","","string {[]} {[]}
","Partie narrative de l’entrée","Partie narrative de l’entrée","","","","","","","","","",,,,,"",,,,"fr-traitement-subordonne.text",1,1,"",""
"fr-traitement-subordonne.reference","fr-traitement-subordonne.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-traitement-subordonne.reference",1,1,"",""
"fr-traitement-subordonne.statusCode","fr-traitement-subordonne.statusCode","","","",1,1,"","","","code {[]} {[]}
","Terminologies: JDV_HL7_TimingEvent_CISIS","OIDs: 2.16.840.1.113883.5.139","","","","","","","","","",,,,,"",,,,"fr-traitement-subordonne.statusCode",1,1,"",""
"fr-traitement-subordonne.doseQuantity","fr-traitement-subordonne.doseQuantity","","","",0,1,"","","","string {[]} {[]}
","Dose à administrer
                          Les sous-éléments ""low"" et ""high"" permettent de fournir les doses minimales et maximales à administrer. D...","Dose à administrer
                          Les sous-éléments ""low"" et ""high"" permettent de fournir les doses minimales et maximales à administrer. D...","","","","","","","","","",,,,,"",,,,"fr-traitement-subordonne.doseQuantity",0,1,"",""
"fr-traitement-subordonne.low","fr-traitement-subordonne.low","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-traitement-subordonne.low",1,1,"",""
"fr-traitement-subordonne.high","fr-traitement-subordonne.high","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-traitement-subordonne.high",1,1,"",""
"fr-traitement-subordonne.translation","fr-traitement-subordonne.translation","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-traitement-subordonne.translation",0,1,"",""
"fr-traitement-subordonne.originalText","fr-traitement-subordonne.originalText","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-traitement-subordonne.originalText",1,1,"",""
"fr-traitement-subordonne.consumable","fr-traitement-subordonne.consumable","","","",1,1,"","","","string {[]} {[]}
","Médicament
                          Pour les doses progressives, fractionnées ou conditionnelles, utilser un nullFlavor='NA'.  Pour les combinaisons ...","Médicament
                          Pour les doses progressives, fractionnées ou conditionnelles, utilser un nullFlavor='NA'.  Pour les combinaisons ...","","","","","","","","","",,,,,"",,,,"fr-traitement-subordonne.consumable",1,1,"",""
"fr-traitement-subordonne.precondition","fr-traitement-subordonne.precondition","","","",0,*,"","","","string {[]} {[]}
","Précondition
                          Pour les doses conditionnelles, chaque entrée <substanceAdministration> subordonnée doit indiquer dans cet élém...","Précondition
                          Pour les doses conditionnelles, chaque entrée <substanceAdministration> subordonnée doit indiquer dans cet élém...","","","","","","","","","",,,,,"",,,,"fr-traitement-subordonne.precondition",0,*,"",""
"fr-traitement-subordonne.criterion","fr-traitement-subordonne.criterion","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-traitement-subordonne.criterion",1,1,"",""
