"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-demande-d-examen-ou-de-suivi-img-da","fr-demande-d-examen-ou-de-suivi-img-da","","","",0,*,"","","","null {[]} {[]}
","FR-Demande-d-examen-ou-de-suivi-IMG-DA ","IHE-PCC - Observation Request                 Chaque acte d'imagerie demandé est enregistré dans une entrée FR-Demande-d-examen-ou-de-suivi avec les informations suivantes :                                                               Modalité + commentaire sur la modalité                          ...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-demande-d-examen-ou-de-suivi-img-da.observation","fr-demande-d-examen-ou-de-suivi-img-da.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Demande d'examen ou de suivi IMG-DA","Entrée Demande d'examen ou de suivi IMG-DA","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-demande-d-examen-ou-de-suivi-img-da.observation",0,1,"",""
"fr-demande-d-examen-ou-de-suivi-img-da.id","fr-demande-d-examen-ou-de-suivi-img-da.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de la demande","Identifiant de la demande","","","","","","","","","",,,,,"",,,,"fr-demande-d-examen-ou-de-suivi-img-da.id",1,1,"",""
"fr-demande-d-examen-ou-de-suivi-img-da.code","fr-demande-d-examen-ou-de-suivi-img-da.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Modalité de l’examen d’imagerie demandée","Modalité de l’examen d’imagerie demandée","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-injection-pdc-tep-cisis|20250624152100","",,,,"fr-demande-d-examen-ou-de-suivi-img-da.code",1,1,"",""
"fr-demande-d-examen-ou-de-suivi-img-da.qualifier","fr-demande-d-examen-ou-de-suivi-img-da.qualifier","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-injection-pdc-tep-cisis|20250624152100","",,,,"fr-demande-d-examen-ou-de-suivi-img-da.qualifier",0,1,"",""
"fr-demande-d-examen-ou-de-suivi-img-da.value","fr-demande-d-examen-ou-de-suivi-img-da.value","","","",1,1,"","","","CodeableConcept {[]} {[]}
","","","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-injection-pdc-tep-cisis|20250624152100","",,,,"fr-demande-d-examen-ou-de-suivi-img-da.value",1,1,"",""
"fr-demande-d-examen-ou-de-suivi-img-da.originalText","fr-demande-d-examen-ou-de-suivi-img-da.originalText","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-demande-d-examen-ou-de-suivi-img-da.originalText",0,1,"",""
"fr-demande-d-examen-ou-de-suivi-img-da.text","fr-demande-d-examen-ou-de-suivi-img-da.text","","","",1,1,"","","","string {[]} {[]}
","Description","Description","","","","","","","","","",,,,,"",,,,"fr-demande-d-examen-ou-de-suivi-img-da.text",1,1,"",""
"fr-demande-d-examen-ou-de-suivi-img-da.reference","fr-demande-d-examen-ou-de-suivi-img-da.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-demande-d-examen-ou-de-suivi-img-da.reference",1,1,"",""
"fr-demande-d-examen-ou-de-suivi-img-da.statusCode","fr-demande-d-examen-ou-de-suivi-img-da.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de la demande","Statut de la demande","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-demande-d-examen-ou-de-suivi-img-da.statusCode",1,1,"",""
"fr-demande-d-examen-ou-de-suivi-img-da.effectiveTime","fr-demande-d-examen-ou-de-suivi-img-da.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date limite souhaitée de l'examen d'imagerie","Date limite souhaitée de l'examen d'imagerie","","","","","","","","","",,,,,"",,,,"fr-demande-d-examen-ou-de-suivi-img-da.effectiveTime",1,1,"",""
"fr-demande-d-examen-ou-de-suivi-img-da.priorityCode","fr-demande-d-examen-ou-de-suivi-img-da.priorityCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Urgence vitale ou fonctionnelle
                        
                        A créer si demande urgente.","Urgence vitale ou fonctionnelle
                        
                        A créer si demande urgente.","","","","","","","","","",,,,,"",,,,"fr-demande-d-examen-ou-de-suivi-img-da.priorityCode",0,1,"",""
"fr-demande-d-examen-ou-de-suivi-img-da.targetSiteCode","fr-demande-d-examen-ou-de-suivi-img-da.targetSiteCode","","","",1,*,"","","","CodeableConcept {[]} {[]}
","Localisation anatomique
                        
                        Valeur issue de la terminologie SNOMED-CT (2.16.840.1.113883.6.96)","OIDs: 2.16.840.1.113883.6.96","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-demande-d-examen-ou-de-suivi-img-da.targetSiteCode",1,*,"",""
"fr-demande-d-examen-ou-de-suivi-img-da.name","fr-demande-d-examen-ou-de-suivi-img-da.name","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-demande-d-examen-ou-de-suivi-img-da.name",1,1,"",""
"fr-demande-d-examen-ou-de-suivi-img-da.entryRelationship","fr-demande-d-examen-ou-de-suivi-img-da.entryRelationship","","","",0,1,"","","","string {[]} {[]}
","Commentaire sur la modalité demandée :
                          Obligatoire si la modalité demandée est ""Imagerie interventionnelle"" ou ""Autre"".","Commentaire sur la modalité demandée :
                          Obligatoire si la modalité demandée est ""Imagerie interventionnelle"" ou ""Autre"".","","","","","","","","","",,,,,"",,,,"fr-demande-d-examen-ou-de-suivi-img-da.entryRelationship",0,1,"",""
