"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-en-rapport-avec-la-prevention","fr-en-rapport-avec-la-prevention","","","",0,*,"","","","null {[]} {[]}
","FR-En-rapport-avec-la-prevention","Cette observation permet d'indiquer si l'élément auquel elle est associée est en rapport avec une prévention.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-en-rapport-avec-la-prevention.observation","fr-en-rapport-avec-la-prevention.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée En rapport avec la prévention","Entrée En rapport avec la prévention","","","","","","","","","",,,,,"",,,,"fr-en-rapport-avec-la-prevention.observation",0,1,"",""
"fr-en-rapport-avec-la-prevention.id","fr-en-rapport-avec-la-prevention.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-en-rapport-avec-la-prevention.id",1,1,"",""
"fr-en-rapport-avec-la-prevention.code","fr-en-rapport-avec-la-prevention.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Catégorie de l'entrée","Catégorie de l'entrée","","","","","","","","","",,,,,"",,,,"fr-en-rapport-avec-la-prevention.code",1,1,"",""
"fr-en-rapport-avec-la-prevention.text","fr-en-rapport-avec-la-prevention.text","","","",1,1,"","","","string {[]} {[]}
","Partie narrative","Partie narrative","","","","","","","","","",,,,,"",,,,"fr-en-rapport-avec-la-prevention.text",1,1,"",""
"fr-en-rapport-avec-la-prevention.reference","fr-en-rapport-avec-la-prevention.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-en-rapport-avec-la-prevention.reference",1,1,"",""
"fr-en-rapport-avec-la-prevention.statusCode","fr-en-rapport-avec-la-prevention.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée
                        
                        Fixé à la valeur ""completed""","Statut de l'entrée
                        
                        Fixé à la valeur ""completed""","","","","","","","","","",,,,,"",,,,"fr-en-rapport-avec-la-prevention.statusCode",1,1,"",""
"fr-en-rapport-avec-la-prevention.effectiveTime","fr-en-rapport-avec-la-prevention.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Horodatage de l'entrée","Horodatage de l'entrée","","","","","","","","","",,,,,"",,,,"fr-en-rapport-avec-la-prevention.effectiveTime",0,1,"",""
"fr-en-rapport-avec-la-prevention.value","fr-en-rapport-avec-la-prevention.value","","","",1,1,"","","","boolean {[]} {[]}
","Résultat de l'observation
                             L'attribut @value pourra prendre l'une des deux valeurs suivantes :
                        
  ...","Résultat de l'observation
                             L'attribut @value pourra prendre l'une des deux valeurs suivantes :
                        
  ...","","","","","","","","","",,,,,"",,,,"fr-en-rapport-avec-la-prevention.value",1,1,"",""
