"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-recherche-de-micro-organismes","fr-recherche-de-micro-organismes","","","",0,*,"","","","null {[]} {[]}
","FR-Recherche-de-micro-organismes","IHE PCC – Simple Observation                                                                Cette entrée permet d'indiquer si une recherche de micro-organismes multirésistants ou émergents a été effectuée ou pas.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-recherche-de-micro-organismes.observation","fr-recherche-de-micro-organismes.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Recherche de micro organismes","Entrée Recherche de micro organismes","","","","","","","","","",,,,,"",,,,"fr-recherche-de-micro-organismes.observation",0,1,"",""
"fr-recherche-de-micro-organismes.id","fr-recherche-de-micro-organismes.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-recherche-de-micro-organismes.id",1,1,"",""
"fr-recherche-de-micro-organismes.code","fr-recherche-de-micro-organismes.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l’entrée","Code de l’entrée","","","","","","","","","",,,,,"",,,,"fr-recherche-de-micro-organismes.code",1,1,"",""
"fr-recherche-de-micro-organismes.text","fr-recherche-de-micro-organismes.text","","","",1,1,"","","","string {[]} {[]}
","Partie narrative de l'observation","Partie narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-recherche-de-micro-organismes.text",1,1,"",""
"fr-recherche-de-micro-organismes.reference","fr-recherche-de-micro-organismes.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-recherche-de-micro-organismes.reference",1,1,"",""
"fr-recherche-de-micro-organismes.statusCode","fr-recherche-de-micro-organismes.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l’entrée","Statut de l’entrée","","","","","","","","","",,,,,"",,,,"fr-recherche-de-micro-organismes.statusCode",1,1,"",""
"fr-recherche-de-micro-organismes.effectiveTime","fr-recherche-de-micro-organismes.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"fr-recherche-de-micro-organismes.effectiveTime",0,1,"",""
"fr-recherche-de-micro-organismes.value","fr-recherche-de-micro-organismes.value","","","",1,1,"","","","boolean {[]} {[]}
","Valeur de l’observation","Valeur de l’observation","","","","","","","","","",,,,,"",,,,"fr-recherche-de-micro-organismes.value",1,1,"",""
