"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-author-apsr","fr-author-apsr","","","",0,*,"","","","null {[]} {[]}
","FR-author-APSR","Participation d'un auteur au document 'author', élément répétable, représente la participation d'un auteur à l'élaboration d'un document ainsi que l'entreprise de santé impliquée.                  Les auteurs d'un document peuvent être :                                                               ...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-author-apsr.author","fr-author-apsr.author","","","",0,1,"","","","string {[]} {[]}
","Terminologies: cip","Participation d'un auteur au document","","","","","","","","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J01-XdsAuthorSpecialty-CISIS/FHIR/JDV-J01-XdsAuthorSpecialty-CISIS|20250721120000","",,,,"fr-author-apsr.author",0,1,"",""
"fr-author-apsr.functionCode","fr-author-apsr.functionCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_J47_FunctionCode_CISIS","OIDs: 1.2.250.1.213.1.1.5.124","","","","","","","","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J47-FunctionCode-CISIS/FHIR/JDV-J47-FunctionCode-CISIS|20250523120000","",,,,"fr-author-apsr.functionCode",0,1,"",""
"fr-author-apsr.originalText","fr-author-apsr.originalText","","","",0,1,"","","","string {[]} {[]}
","Précision sur le rôle fonctionnel de l'auteur sous forme textuelle","Précision sur le rôle fonctionnel de l'auteur sous forme textuelle","","","","","","","","","",,,,,"",,,,"fr-author-apsr.originalText",0,1,"",""
"fr-author-apsr.time","fr-author-apsr.time","","","",1,1,"","","","dateTime {[]} {[]}
","Terminologies: cip","Horodatage de la participation de l'auteur","","","","","","","","","",,,,,"",,,,"fr-author-apsr.time",1,1,"",""
"fr-author-apsr.assignedAuthor","fr-author-apsr.assignedAuthor","","","",1,1,"","","","string {[]} {[]}
","Identification de l'auteur
                          avec ses identifiants, profession/spécialité, adresses géopostales et de télécommunication et son...","Identification de l'auteur
                          avec ses identifiants, profession/spécialité, adresses géopostales et de télécommunication et son...","","","","","","","","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J01-XdsAuthorSpecialty-CISIS/FHIR/JDV-J01-XdsAuthorSpecialty-CISIS|20250721120000","",,,,"fr-author-apsr.assignedAuthor",1,1,"",""
"fr-author-apsr.id","fr-author-apsr.id","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant de l'auteur
                              Obligatoire pour un PS, un dispositif ou un patient.  Facultatif pour un non PS.","Identifiant de l'auteur
                              Obligatoire pour un PS, un dispositif ou un patient.  Facultatif pour un non PS.","","","","","","","","","",,,,,"",,,,"fr-author-apsr.id",0,1,"",""
"fr-author-apsr.code","fr-author-apsr.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_J01_XdsAuthorSpecialty_CISIS","OIDs: 1.2.250.1.213.1.1.5.461","","","","","","","","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J01-XdsAuthorSpecialty-CISIS/FHIR/JDV-J01-XdsAuthorSpecialty-CISIS|20250721120000","",,,,"fr-author-apsr.code",0,1,"",""
"fr-author-apsr.assignedPerson","fr-author-apsr.assignedPerson","","","",0,1,"","","","string {[]} {[]}
","Personne physique","Personne physique","","","","","","","","","",,,,,"",,,,"fr-author-apsr.assignedPerson",0,1,"",""
"fr-author-apsr.name","fr-author-apsr.name","","","",1,1,"","","","HumanName {[]} {[]}
","Nom de famille ou du nom d'usage, prénom et civilité de l'auteur","Nom de famille ou du nom d'usage, prénom et civilité de l'auteur","","","","","","","","","",,,,,"",,,,"fr-author-apsr.name",1,1,"",""
"fr-author-apsr.family","fr-author-apsr.family","","","",1,1,"","","","string {[]} {[]}
","Nom de famille ou nom d'usage de l'auteur
                                          Pour les PS, valeur de PS_Nom (voir CI-SIS_ANX_SOURCES-DONNEES-PER...","Nom de famille ou nom d'usage de l'auteur
                                          Pour les PS, valeur de PS_Nom (voir CI-SIS_ANX_SOURCES-DONNEES-PER...","","","","","","","","","",,,,,"",,,,"fr-author-apsr.family",1,1,"",""
