"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-evenement-indesirable-suite-administration-derives-sang","fr-evenement-indesirable-suite-administration-derives-sang","","","",0,*,"","","","null {[]} {[]}
","FR-Evenement-indesirable-suite-administration-derives-sang","Cette entrée permet de décrire sous forme textuelle des événements indésirables survenus suite à l'administration de dérivés du sang.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-evenement-indesirable-suite-administration-derives-sang.observation","fr-evenement-indesirable-suite-administration-derives-sang.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Evènements indésirables suite à l'administration de dérivés du sang","Entrée Evènements indésirables suite à l'administration de dérivés du sang","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-suite-administration-derives-sang.observation",0,1,"",""
"fr-evenement-indesirable-suite-administration-derives-sang.id","fr-evenement-indesirable-suite-administration-derives-sang.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-suite-administration-derives-sang.id",1,1,"",""
"fr-evenement-indesirable-suite-administration-derives-sang.code","fr-evenement-indesirable-suite-administration-derives-sang.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-suite-administration-derives-sang.code",1,1,"",""
"fr-evenement-indesirable-suite-administration-derives-sang.text","fr-evenement-indesirable-suite-administration-derives-sang.text","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-suite-administration-derives-sang.text",1,1,"",""
"fr-evenement-indesirable-suite-administration-derives-sang.reference","fr-evenement-indesirable-suite-administration-derives-sang.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-suite-administration-derives-sang.reference",1,1,"",""
"fr-evenement-indesirable-suite-administration-derives-sang.statusCode","fr-evenement-indesirable-suite-administration-derives-sang.statusCode","","","",1,1,"","","","code {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-suite-administration-derives-sang.statusCode",1,1,"",""
"fr-evenement-indesirable-suite-administration-derives-sang.effectiveTime","fr-evenement-indesirable-suite-administration-derives-sang.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-suite-administration-derives-sang.effectiveTime",1,1,"",""
"fr-evenement-indesirable-suite-administration-derives-sang.value","fr-evenement-indesirable-suite-administration-derives-sang.value","","","",1,1,"","","","string {[]} {[]}
","Description sous forme textuelle des évènements indésirables survenus suite à l'administration de dérivés du sang.","Description sous forme textuelle des évènements indésirables survenus suite à l'administration de dérivés du sang.","","","","","","","","","",,,,,"",,,,"fr-evenement-indesirable-suite-administration-derives-sang.value",1,1,"",""
