"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-habitus-mode-de-vie","fr-habitus-mode-de-vie","","","",0,*,"","","","null {[]} {[]}
","FR-Habitus-Mode-de-vie","IHE-PCC - Social History Observation                                                               L'entrée Habitus, Mode de vie permet de décrire des éléments sociaux du patient.                                                                    Cette entrée est basée sur l'élément Simple Observati...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-habitus-mode-de-vie.observation","fr-habitus-mode-de-vie.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Habitus, Mode de vie","Entrée Habitus, Mode de vie","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/1.2.250.1.213.1.1.4.2.283.4","",,,,"fr-habitus-mode-de-vie.observation",0,1,"",""
"fr-habitus-mode-de-vie.id","fr-habitus-mode-de-vie.id","","","",1,1,"","","","string {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-habitus-mode-de-vie.id",1,1,"",""
"fr-habitus-mode-de-vie.code","fr-habitus-mode-de-vie.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Élément observé","Élément observé","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/1.2.250.1.213.1.1.4.2.283.4","",,,,"fr-habitus-mode-de-vie.code",1,1,"",""
"fr-habitus-mode-de-vie.qualifier","fr-habitus-mode-de-vie.qualifier","","","",0,1,"","","","string {[]} {[]}
","Précision du code","Précision du code","","","","","","","","","",,,,,"",,,,"fr-habitus-mode-de-vie.qualifier",0,1,"",""
"fr-habitus-mode-de-vie.value","fr-habitus-mode-de-vie.value","","","",0,1,"","","","CodeableConcept {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-habitus-mode-de-vie.value",0,1,"",""
"fr-habitus-mode-de-vie.name","fr-habitus-mode-de-vie.name","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-habitus-mode-de-vie.name",0,1,"",""
"fr-habitus-mode-de-vie.text","fr-habitus-mode-de-vie.text","","","",1,1,"","","","string {[]} {[]}
","Description narrative","Description narrative","","","","","","","","","",,,,,"",,,,"fr-habitus-mode-de-vie.text",1,1,"",""
"fr-habitus-mode-de-vie.reference","fr-habitus-mode-de-vie.reference","","","",1,1,"","","","string {[]} {[]}
","Référence à la partie narrative de la section","Référence à la partie narrative de la section","","","","","","","","","",,,,,"",,,,"fr-habitus-mode-de-vie.reference",1,1,"",""
"fr-habitus-mode-de-vie.statusCode","fr-habitus-mode-de-vie.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation
                        
                        Fixé à la valeur ""completed""","Statut de l'observation
                        
                        Fixé à la valeur ""completed""","","","","","","","","","",,,,,"",,,,"fr-habitus-mode-de-vie.statusCode",1,1,"",""
"fr-habitus-mode-de-vie.effectiveTime","fr-habitus-mode-de-vie.effectiveTime","","","",1,1,"","","","string {[]} {[]}
","Horodatage de l'entrée","Horodatage de l'entrée","","","","","","","","","",,,,,"",,,,"fr-habitus-mode-de-vie.effectiveTime",1,1,"",""
