"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-score-braden-composant","fr-score-braden-composant","","","",0,*,"","","","null {[]} {[]}
","FR-Score-Braden-Composant","IHE-PCC - Braden Score Component                                                               Cette entrée permet d'enregistrer la valeur d'un composant du score de Braden.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-score-braden-composant.observation","fr-score-braden-composant.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Score de Braden - Composant","Entrée Score de Braden - Composant","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-score-braden-component-cisis|20251028115832","",,,,"fr-score-braden-composant.observation",0,1,"",""
"fr-score-braden-composant.id","fr-score-braden-composant.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-score-braden-composant.id",1,1,"",""
"fr-score-braden-composant.code","fr-score-braden-composant.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_ScoreBradenComponent_CISIS","Code de l'observation
                          Valeur issue du JDV_ScoreBradenComponent_CISIS","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-score-braden-component-cisis|20251028115832","",,,,"fr-score-braden-composant.code",1,1,"",""
"fr-score-braden-composant.text","fr-score-braden-composant.text","","","",1,1,"","","","string {[]} {[]}
","Description narrative de l'observation","Description narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-score-braden-composant.text",1,1,"",""
"fr-score-braden-composant.reference","fr-score-braden-composant.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-score-braden-composant.reference",1,1,"",""
"fr-score-braden-composant.statusCode","fr-score-braden-composant.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","","","","",,,,,"",,,,"fr-score-braden-composant.statusCode",1,1,"",""
"fr-score-braden-composant.effectiveTime","fr-score-braden-composant.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"fr-score-braden-composant.effectiveTime",1,1,"",""
"fr-score-braden-composant.repeatNumber","fr-score-braden-composant.repeatNumber","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-score-braden-composant.repeatNumber",0,1,"",""
"fr-score-braden-composant.value","fr-score-braden-composant.value","","","",1,1,"","","","integer {[]} {[]}
","Valeur de l'évaluation pour l'observation
                          Cette valeur est un entier de 1 à 4 sauf pour Friction et cisaillement pour laquel...","Valeur de l'évaluation pour l'observation
                          Cette valeur est un entier de 1 à 4 sauf pour Friction et cisaillement pour laquel...","","","","","","","","","",,,,,"",,,,"fr-score-braden-composant.value",1,1,"",""
"fr-score-braden-composant.interpretationCode","fr-score-braden-composant.interpretationCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_ScoreBradenActivite_CISIS, JDV_ScoreBradenNutrition_CISIS, JDV_ScoreBradenFrictionCisaillement_CISIS","Interpretation
                         
                        La valeur est issue du JDV correspondant à l'élément ""code"" de l'observation :
      ...","","","","","","","","","",,,,,"",,,,"fr-score-braden-composant.interpretationCode",0,1,"",""
