"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-observation-sur-la-grossesse","fr-observation-sur-la-grossesse","","","",0,*,"","","","null {[]} {[]}
","FR-Observation-sur-la-grossesse","IHE-PCC - Pregnancy Observation                                                               Cette entrée permet d'apporter des informations relatives aux grossesses actuelle ou passées.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-observation-sur-la-grossesse.observation","fr-observation-sur-la-grossesse.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Observation sur la grossesse","Entrée Observation sur la grossesse","","","","","","","","","",,,,,"",,,,"fr-observation-sur-la-grossesse.observation",0,1,"",""
"fr-observation-sur-la-grossesse.id","fr-observation-sur-la-grossesse.id","","","",1,1,"","","","Identifier {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-observation-sur-la-grossesse.id",1,1,"",""
"fr-observation-sur-la-grossesse.code","fr-observation-sur-la-grossesse.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_ObservationGrossesse_CISIS","OIDs: 1.2.250.1.213.1.1.5.500","","","","","","","","","",,,,,"",,,,"fr-observation-sur-la-grossesse.code",1,1,"",""
"fr-observation-sur-la-grossesse.text","fr-observation-sur-la-grossesse.text","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-observation-sur-la-grossesse.text",1,1,"",""
"fr-observation-sur-la-grossesse.reference","fr-observation-sur-la-grossesse.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-observation-sur-la-grossesse.reference",1,1,"",""
"fr-observation-sur-la-grossesse.statusCode","fr-observation-sur-la-grossesse.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,,,,"",,,,"fr-observation-sur-la-grossesse.statusCode",1,1,"",""
"fr-observation-sur-la-grossesse.effectiveTime","fr-observation-sur-la-grossesse.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"fr-observation-sur-la-grossesse.effectiveTime",1,1,"",""
"fr-observation-sur-la-grossesse.value","fr-observation-sur-la-grossesse.value","","","",1,1,"","","","string {[]} {[]}
","Terminologies: JDV_StatutGrossesse_CISIS","OIDs: 1.2.250.1.213.1.1.5.671","","","","","","","","","",,,,,"",,,,"fr-observation-sur-la-grossesse.value",1,1,"",""
