"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-non-remboursable","fr-non-remboursable","","","",0,*,"","","","null {[]} {[]}
","FR-Non-remboursable","Cette observation permet d'indiquer si le traitement auquel elle est associée est non remboursable.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-non-remboursable.observation","fr-non-remboursable.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Non remboursable","Entrée Non remboursable","","","","","","","","","",,,,,"",,,,"fr-non-remboursable.observation",0,1,"",""
"fr-non-remboursable.id","fr-non-remboursable.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-non-remboursable.id",1,1,"",""
"fr-non-remboursable.code","fr-non-remboursable.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"fr-non-remboursable.code",1,1,"",""
"fr-non-remboursable.text","fr-non-remboursable.text","","","",1,1,"","","","string {[]} {[]}
","Partie narrative de l'observation","Partie narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-non-remboursable.text",1,1,"",""
"fr-non-remboursable.reference","fr-non-remboursable.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-non-remboursable.reference",1,1,"",""
"fr-non-remboursable.statusCode","fr-non-remboursable.statusCode","","","",1,1,"","","","code {[]} {[]}
","Status de l'observation
                        
                        Fixé à la valeur ""completed""","Status de l'observation
                        
                        Fixé à la valeur ""completed""","","","","","","","","","",,,,,"",,,,"fr-non-remboursable.statusCode",1,1,"",""
"fr-non-remboursable.effectiveTime","fr-non-remboursable.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"fr-non-remboursable.effectiveTime",0,1,"",""
"fr-non-remboursable.value","fr-non-remboursable.value","","","",1,1,"","","","boolean {[]} {[]}
","L'attribut @value pourra prendre l'une des deux valeurs suivantes :
                        
                        
                            
   ...","L'attribut @value pourra prendre l'une des deux valeurs suivantes :
                        
                        
                            
   ...","","","","","","","","","",,,,,"",,,,"fr-non-remboursable.value",1,1,"",""
