"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-antecedents-familiaux","fr-antecedents-familiaux","","","",0,*,"","","","null {[]} {[]}
","FR-Antecedents-familiaux","IHE-PCC - Family History Organizer                                                                  L'entrée Antécédents familiaux est une entrée de type organizer qui permet de regrouper des informations relatives aux membres de la famille du patient.                                                ...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-antecedents-familiaux.organizer","fr-antecedents-familiaux.organizer","","","",1,1,"","","","string {[]} {[]}
","Entrée Antécédents familiaux","Entrée Antécédents familiaux","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-PersonalRelationshipRoleType-cisis|20251028115832","",,,,"fr-antecedents-familiaux.organizer",1,1,"",""
"fr-antecedents-familiaux.statusCode","fr-antecedents-familiaux.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l’entrée
                         
                         Fixé à la valeur ""completed""","Statut de l’entrée
                         
                         Fixé à la valeur ""completed""","","","","","","","","","",,,,,"",,,,"fr-antecedents-familiaux.statusCode",1,1,"",""
"fr-antecedents-familiaux.participant","fr-antecedents-familiaux.participant","","","",0,*,"","","","string {[]} {[]}
","Lien avec un autre sujet","Lien avec un autre sujet","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-PersonalRelationshipRoleType-cisis|20251028115832","",,,,"fr-antecedents-familiaux.participant",0,*,"",""
"fr-antecedents-familiaux.participantRole","fr-antecedents-familiaux.participantRole","","","",1,1,"","","","string {[]} {[]}
","Lien avec l'autre sujet","Lien avec l'autre sujet","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-PersonalRelationshipRoleType-cisis|20251028115832","",,,,"fr-antecedents-familiaux.participantRole",1,1,"",""
"fr-antecedents-familiaux.code","fr-antecedents-familiaux.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Lien avec l'autre sujet","Lien avec l'autre sujet","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-PersonalRelationshipRoleType-cisis|20251028115832","",,,,"fr-antecedents-familiaux.code",1,1,"",""
"fr-antecedents-familiaux.playingEntity","fr-antecedents-familiaux.playingEntity","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-antecedents-familiaux.playingEntity",1,1,"",""
"fr-antecedents-familiaux.component","fr-antecedents-familiaux.component","","","",1,*,"","","","string {[]} {[]}
","Antécédent familial observé","Antécédent familial observé","","","","","","","","","",,,,,"",,,,"fr-antecedents-familiaux.component",1,*,"",""
