"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-accidents-transfusionnels","fr-accidents-transfusionnels","fr-accidents-transfusionnels","","","",0,*,"","","","null {[]} {[]}
","FR-Accidents-transfusionnels","Cette entrée permet de décrire sous forme textuelle un accident transfusionnel.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-accidents-transfusionnels","fr-accidents-transfusionnels.observation","fr-accidents-transfusionnels.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Accident transfusionnel","Entrée Accident transfusionnel","","","","","","","","","",,,,,"",,,,"fr-accidents-transfusionnels.observation",0,1,"",""
"fr-accidents-transfusionnels","fr-accidents-transfusionnels.id","fr-accidents-transfusionnels.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-accidents-transfusionnels.id",1,1,"",""
"fr-accidents-transfusionnels","fr-accidents-transfusionnels.code","fr-accidents-transfusionnels.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"fr-accidents-transfusionnels.code",1,1,"",""
"fr-accidents-transfusionnels","fr-accidents-transfusionnels.text","fr-accidents-transfusionnels.text","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-accidents-transfusionnels.text",1,1,"",""
"fr-accidents-transfusionnels","fr-accidents-transfusionnels.reference","fr-accidents-transfusionnels.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-accidents-transfusionnels.reference",1,1,"",""
"fr-accidents-transfusionnels","fr-accidents-transfusionnels.statusCode","fr-accidents-transfusionnels.statusCode","","","",1,1,"","","","code {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-accidents-transfusionnels.statusCode",1,1,"",""
"fr-accidents-transfusionnels","fr-accidents-transfusionnels.effectiveTime","fr-accidents-transfusionnels.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"fr-accidents-transfusionnels.effectiveTime",1,1,"",""
"fr-accidents-transfusionnels","fr-accidents-transfusionnels.value","fr-accidents-transfusionnels.value","","","",1,1,"","","","string {[]} {[]}
","Description sous forme textuelle de l'accident transfusionnel","Description sous forme textuelle de l'accident transfusionnel","","","","","","","","","",,,,,"",,,,"fr-accidents-transfusionnels.value",1,1,"",""
"fr-acte-biologie-prescrit","fr-acte-biologie-prescrit","fr-acte-biologie-prescrit","","","",0,*,"","","","null {[]} {[]}
","FR-Acte-biologie-prescrit","IHE-PCC - Observation Request                     Cette entrée est une spécialisation de l’entrée FR-Demande-d-examen-ou-de-suivi (1.2.250.1.213.1.1.3.27) qui permet de décrire une ligne de prescription d’examen de biologie médicale","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-acte-biologie-prescrit","fr-acte-biologie-prescrit.observation","fr-acte-biologie-prescrit.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Demande d'examen ou de suivi / Objectif à atteindre","Entrée Demande d'examen ou de suivi / Objectif à atteindre","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActPriority-cisis|20251028115833","",,,,"fr-acte-biologie-prescrit.observation",0,1,"",""
"fr-acte-biologie-prescrit","fr-acte-biologie-prescrit.id","fr-acte-biologie-prescrit.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de la demande d’examen / de suivi","Identifiant de la demande d’examen / de suivi","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.id",1,1,"",""
"fr-acte-biologie-prescrit","fr-acte-biologie-prescrit.code","fr-acte-biologie-prescrit.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: LOINC","Code de l'acte de biologie medicale issue du JDV circuit de la biologie
                          
                          Si l’examen n’est pas pré...","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.code",1,1,"",""
"fr-acte-biologie-prescrit","fr-acte-biologie-prescrit.text","fr-acte-biologie-prescrit.text","","","",1,1,"","","","string {[]} {[]}
","Description narrative","Description narrative","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.text",1,1,"",""
"fr-acte-biologie-prescrit","fr-acte-biologie-prescrit.reference","fr-acte-biologie-prescrit.reference","","","",1,1,"","","","string {[]} {[]}
","Référence à la partie narrative de la section","Référence à la partie narrative de la section","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.reference",1,1,"",""
"fr-acte-biologie-prescrit","fr-acte-biologie-prescrit.statusCode","fr-acte-biologie-prescrit.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de la demande","Statut de la demande","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-acte-biologie-prescrit.statusCode",1,1,"",""
"fr-acte-biologie-prescrit","fr-acte-biologie-prescrit.effectiveTime","fr-acte-biologie-prescrit.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date prévisionnelle de l'examen
                          
                          Valeur fixée à nullFlavor=""UNK""","Date prévisionnelle de l'examen
                          
                          Valeur fixée à nullFlavor=""UNK""","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.effectiveTime",1,1,"",""
"fr-acte-biologie-prescrit","fr-acte-biologie-prescrit.priorityCode","fr-acte-biologie-prescrit.priorityCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Urgence
                          
                          à créer si l'acte de biologie médicale est urgent avec la valeur :  
                    ...","Urgence
                          
                          à créer si l'acte de biologie médicale est urgent avec la valeur :  
                    ...","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActPriority-cisis|20251028115833","",,,,"fr-acte-biologie-prescrit.priorityCode",0,1,"",""
