"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-mesure-keratometrique","fr-mesure-keratometrique","","","",0,*,"","","","null {[]} {[]}
","FR-Mesure-keratometrique","IHE GEE - Observation de kératométrie ou IHE GEE - Observation des mesures de kératométrie                                                                Cette entrée permet d’enregistrer une mesure Keratometrique.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-mesure-keratometrique.observation","fr-mesure-keratometrique.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Mesure keratometrique","Entrée Mesure keratometrique","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-oeil-examine-cisis|20251028115832","",,,,"fr-mesure-keratometrique.observation",0,1,"",""
"fr-mesure-keratometrique.id","fr-mesure-keratometrique.id","","","",1,1,"","","","string {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-mesure-keratometrique.id",1,1,"",""
"fr-mesure-keratometrique.code","fr-mesure-keratometrique.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_TypeDeMesureDeRefraction_CISIS","OIDs: 1.2.250.1.213.1.1.5.641","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-type-de-mesure-de-refraction-cisis|20250624152059","",,,,"fr-mesure-keratometrique.code",1,1,"",""
"fr-mesure-keratometrique.text","fr-mesure-keratometrique.text","","","",1,1,"","","","string {[]} {[]}
","Description narrative de l'observation.","Description narrative de l'observation.","","","","","","","","","",,,,,"",,,,"fr-mesure-keratometrique.text",1,1,"",""
"fr-mesure-keratometrique.reference","fr-mesure-keratometrique.reference","","","",1,1,"","","","string {[]} {[]}
","Référence vers la partie narrative.","Référence vers la partie narrative.","","","","","","","","","",,,,,"",,,,"fr-mesure-keratometrique.reference",1,1,"",""
"fr-mesure-keratometrique.statusCode","fr-mesure-keratometrique.statusCode","","","",1,1,"","","","string {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,,,,"",,,,"fr-mesure-keratometrique.statusCode",1,1,"",""
"fr-mesure-keratometrique.effectiveTime","fr-mesure-keratometrique.effectiveTime","","","",1,1,"","","","string {[]} {[]}
","Date et heure de la mesure","Date et heure de la mesure","","","","","","","","","",,,,,"",,,,"fr-mesure-keratometrique.effectiveTime",1,1,"",""
"fr-mesure-keratometrique.value","fr-mesure-keratometrique.value","","","",1,1,"","","","Quantity {[]} {[]}
","Valeur de la mesure","Valeur de la mesure","","","","","","","","","",,,,,"",,,,"fr-mesure-keratometrique.value",1,1,"",""
"fr-mesure-keratometrique.methodCode","fr-mesure-keratometrique.methodCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Méthode utilisée pour la mesure","Méthode utilisée pour la mesure","","","","","","","","","",,,,,"",,,,"fr-mesure-keratometrique.methodCode",1,1,"",""
"fr-mesure-keratometrique.targetSiteCode","fr-mesure-keratometrique.targetSiteCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Localisation","Localisation","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-oeil-examine-cisis|20251028115832","",,,,"fr-mesure-keratometrique.targetSiteCode",1,1,"",""
"fr-mesure-keratometrique.interpretationCode","fr-mesure-keratometrique.interpretationCode","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Interprétation","Interprétation","","","","","","","","","",,,,,"",,,,"fr-mesure-keratometrique.interpretationCode",0,*,"",""
