"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-modalite-sortie","fr-modalite-sortie","","","",0,*,"","","","null {[]} {[]}
","FR-Modalite-sortie","Cette entrée permet de préciser la modalité de sortie du patient d'un ES (retour à domicile, EHPAD, HAD, etc...).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-modalite-sortie.observation","fr-modalite-sortie.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Modalité de sortie","Entrée Modalité de sortie","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-modalite-sortie.observation",0,1,"",""
"fr-modalite-sortie.id","fr-modalite-sortie.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-modalite-sortie.id",1,1,"",""
"fr-modalite-sortie.code","fr-modalite-sortie.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"fr-modalite-sortie.code",1,1,"",""
"fr-modalite-sortie.text","fr-modalite-sortie.text","","","",1,1,"","","","string {[]} {[]}
","Partie narrative de l'observation","Partie narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-modalite-sortie.text",1,1,"",""
"fr-modalite-sortie.reference","fr-modalite-sortie.reference","","","",1,1,"","","","string {[]} {[]}
","Référence à la partie narrative de la section qui contient la modalité de sortie sous forme textuelle si la réponse est ""autre"".","Référence à la partie narrative de la section qui contient la modalité de sortie sous forme textuelle si la réponse est ""autre"".","","","","","","","","","",,,,,"",,,,"fr-modalite-sortie.reference",1,1,"",""
"fr-modalite-sortie.statusCode","fr-modalite-sortie.statusCode","","","",1,1,"","","","code {[]} {[]}
","Status de l'observation","Status de l'observation","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-modalite-sortie.statusCode",1,1,"",""
"fr-modalite-sortie.effectiveTime","fr-modalite-sortie.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date de la sortie","Date de la sortie","","","","","","","","","",,,,,"",,,,"fr-modalite-sortie.effectiveTime",1,1,"",""
"fr-modalite-sortie.value","fr-modalite-sortie.value","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_ModaliteSortie_CISIS","OIDs: 1.2.250.1.213.1.1.5.74","","","","","","","","","",,,,,"",,,,"fr-modalite-sortie.value",1,1,"",""
