"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-evaluation-composant","fr-evaluation-composant","","","",0,*,"","","","null {[]} {[]}
","FR-Evaluation-Composant","Cette entrée permet de porter un résultat élémentaire (ex : score unitaire) répondant à une question faisant partie d’une évaluation.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-evaluation-composant.observation","fr-evaluation-composant.observation","","","",0,1,"","","","string {[]} {[]}
","Conformité Simple Observation (CCD)","Conformité Simple Observation (CCD)","","","","","","","","","",,,,,"",,,,"fr-evaluation-composant.observation",0,1,"",""
"fr-evaluation-composant.id","fr-evaluation-composant.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-evaluation-composant.id",1,1,"",""
"fr-evaluation-composant.code","fr-evaluation-composant.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: LOINC","OIDs: 2.16.840.1.113883.6.1, 2.16.840.1.113883.6.254","","","","","","","","","",,,,,"",,,,"fr-evaluation-composant.code",1,1,"",""
"fr-evaluation-composant.text","fr-evaluation-composant.text","","","",1,1,"","","","string {[]} {[]}
","Partie narrative","Partie narrative","","","","","","","","","",,,,,"",,,,"fr-evaluation-composant.text",1,1,"",""
"fr-evaluation-composant.reference","fr-evaluation-composant.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-evaluation-composant.reference",1,1,"",""
"fr-evaluation-composant.statusCode","fr-evaluation-composant.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée
                        
                        Fixé à la valeur ""completed""","Statut de l'entrée
                        
                        Fixé à la valeur ""completed""","","","","","","","","","",,,,,"",,,,"fr-evaluation-composant.statusCode",1,1,"",""
"fr-evaluation-composant.effectiveTime","fr-evaluation-composant.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Horodatage de l'entrée","Horodatage de l'entrée","","","","","","","","","",,,,,"",,,,"fr-evaluation-composant.effectiveTime",1,1,"",""
"fr-evaluation-composant.low","fr-evaluation-composant.low","","","",0,1,"","","","dateTime {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-evaluation-composant.low",0,1,"",""
"fr-evaluation-composant.high","fr-evaluation-composant.high","","","",0,1,"","","","dateTime {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-evaluation-composant.high",0,1,"",""
"fr-evaluation-composant.value","fr-evaluation-composant.value","","","",1,1,"","","","string {[]} {[]}
","Résultat de l'évaluation Le type et la valeur du résultat de l'évaluation (value) dépendent du volet utilisant cette entrée (les précisions sont alors...","Résultat de l'évaluation Le type et la valeur du résultat de l'évaluation (value) dépendent du volet utilisant cette entrée (les précisions sont alors...","","","","","","","","","",,,,,"",,,,"fr-evaluation-composant.value",1,1,"",""
"fr-evaluation-composant.originalText","fr-evaluation-composant.originalText","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-evaluation-composant.originalText",0,1,"",""
"fr-evaluation-composant.interpretationCode","fr-evaluation-composant.interpretationCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Interprétation","Interprétation","","","","","","","","","",,,,,"",,,,"fr-evaluation-composant.interpretationCode",0,1,"",""
"fr-evaluation-composant.entryRelationship","fr-evaluation-composant.entryRelationship","","","",0,*,"","","","string {[]} {[]}
","Sous-composant de l'évaluation","Sous-composant de l'évaluation","","","","","","","","","",,,,,"",,,,"fr-evaluation-composant.entryRelationship",0,*,"",""
