"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-echantillon-type","fr-echantillon-type","","","",0,*,"","","","null {[]} {[]}
","FR-Echantillon-type","IHE-APSR - CDA PlayingEntitySpecimen APSR2                                                               Type d'échantillon ou type d'additif","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-echantillon-type.code","fr-echantillon-type.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","","","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-specimen-type-cisis|20251028115833","",,,,"fr-echantillon-type.code",0,1,"",""
"fr-echantillon-type.quantity","fr-echantillon-type.quantity","","","",0,1,"","","","Quantity {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-echantillon-type.quantity",0,1,"",""
"fr-echantillon-type.desc","fr-echantillon-type.desc","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-echantillon-type.desc",0,1,"",""
