"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-prothese-et-objet-personnel","fr-prothese-et-objet-personnel","","","",0,*,"","","","null {[]} {[]}
","FR-Prothese-et-objet-personnel","Cette entrée permet de décrire les prothèses et objets personnels que porte le patient.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-prothese-et-objet-personnel.observation","fr-prothese-et-objet-personnel.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Prothèse et objet personnel","Entrée Prothèse et objet personnel","","","","","","","","","",,,,,"",,,,"fr-prothese-et-objet-personnel.observation",0,1,"",""
"fr-prothese-et-objet-personnel.id","fr-prothese-et-objet-personnel.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-prothese-et-objet-personnel.id",1,1,"",""
"fr-prothese-et-objet-personnel.code","fr-prothese-et-objet-personnel.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de l'observation","Type de l'observation","","","","","","","","","",,,,,"",,,,"fr-prothese-et-objet-personnel.code",1,1,"",""
"fr-prothese-et-objet-personnel.text","fr-prothese-et-objet-personnel.text","","","",1,1,"","","","string {[]} {[]}
","Bloc narratif","Bloc narratif","","","","","","","","","",,,,,"",,,,"fr-prothese-et-objet-personnel.text",1,1,"",""
"fr-prothese-et-objet-personnel.reference","fr-prothese-et-objet-personnel.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-prothese-et-objet-personnel.reference",1,1,"",""
"fr-prothese-et-objet-personnel.statusCode","fr-prothese-et-objet-personnel.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","","","","",,,,,"",,,,"fr-prothese-et-objet-personnel.statusCode",1,1,"",""
"fr-prothese-et-objet-personnel.effectiveTime","fr-prothese-et-objet-personnel.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"fr-prothese-et-objet-personnel.effectiveTime",1,1,"",""
"fr-prothese-et-objet-personnel.value","fr-prothese-et-objet-personnel.value","","","",1,1,"","","","string {[]} {[]}
","Valeur de l'observation","Valeur de l'observation","","","","","","","","","",,,,,"",,,,"fr-prothese-et-objet-personnel.value",1,1,"",""
"fr-prothese-et-objet-personnel.targetSiteCode","fr-prothese-et-objet-personnel.targetSiteCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Site de l'observation","Site de l'observation","","","","","","","","","",,,,,"",,,,"fr-prothese-et-objet-personnel.targetSiteCode",0,1,"",""
