"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-resultat-examens-de-biologie-element-clinique-pertinent","fr-resultat-examens-de-biologie-element-clinique-pertinent","","","",0,*,"","","","null {[]} {[]}
","FR-Resultat-examens-de-biologie-element-clinique-pertinent","IHE-PALM - Laboratory Observation                                                                L'entrée Résultat d'examen / élément clinique pertinent est une entrée de type ""observation"" qui permet de décrire un résultat d'un élément d'un examen de biologie médicale ou un élément clinique pertine...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.observation","fr-resultat-examens-de-biologie-element-clinique-pertinent.observation","","","",1,1,"","","","string {[]} {[]}
","Entrée Résultat d'examens de biologie / élement clinique pertinent","Entrée Résultat d'examens de biologie / élement clinique pertinent","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ObservationInterpretation-cisis|20251028115834","",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.observation",1,1,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.id","fr-resultat-examens-de-biologie-element-clinique-pertinent.id","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant du résultat
                         Le producteur du résultat a pu lui affecter un identifiant, de manière à distinguer cette occurrence ...","Identifiant du résultat
                         Le producteur du résultat a pu lui affecter un identifiant, de manière à distinguer cette occurrence ...","","","","","","","","","",,,,,"",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.id",0,1,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.code","fr-resultat-examens-de-biologie-element-clinique-pertinent.code","","","",1,1,"","","","string {[]} {[]}
","Code d'identification de l'analyse ou de l'observation","Code d'identification de l'analyse ou de l'observation","","","","","","","","","",,,,,"",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.code",1,1,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.originalText","fr-resultat-examens-de-biologie-element-clinique-pertinent.originalText","","","",1,1,"","","","string {[]} {[]}
","Référence à l'expression verbale dans la partie visualisable du compte-rendu","Référence à l'expression verbale dans la partie visualisable du compte-rendu","","","","","","","","","",,,,,"",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.originalText",1,1,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.reference","fr-resultat-examens-de-biologie-element-clinique-pertinent.reference","","","",1,1,"","","","string {[]} {[]}
","Référence à l'expression verbale dans la partie visualisable du compte-rendu","Référence à l'expression verbale dans la partie visualisable du compte-rendu","","","","","","","","","",,,,,"",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.reference",1,1,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.translation","fr-resultat-examens-de-biologie-element-clinique-pertinent.translation","","","",0,1,"","","","string {[]} {[]}
","Code d'identification d'attente national ou code de portée locale","Code d'identification d'attente national ou code de portée locale","","","","","","","","","",,,,,"",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.translation",0,1,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.statusCode","fr-resultat-examens-de-biologie-element-clinique-pertinent.statusCode","","","",1,1,"","","","code {[]} {[]}
","Niveau de complétude
                        
                        - ""completed"" si le résultat est présent ;- ""aborted"" dans le cas où l'élément d...","Niveau de complétude
                        
                        - ""completed"" si le résultat est présent ;- ""aborted"" dans le cas où l'élément d...","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.statusCode",1,1,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.effectiveTime","fr-resultat-examens-de-biologie-element-clinique-pertinent.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Date et heure de ce résultat","Date et heure de ce résultat","","","","","","","","","",,,,,"",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.effectiveTime",0,1,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.value","fr-resultat-examens-de-biologie-element-clinique-pertinent.value","","","",0,1,"","","","string {[]} {[]}
","Valeur du résultat
                          Le type de valeur (attribut xsi:type) est choisi dynamiquement. Les autres attributs qui qualifient cette...","Valeur du résultat
                          Le type de valeur (attribut xsi:type) est choisi dynamiquement. Les autres attributs qui qualifient cette...","","","","","","","","","",,,,,"",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.value",0,1,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.interpretationCode","fr-resultat-examens-de-biologie-element-clinique-pertinent.interpretationCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Code d'interprétation","Code d'interprétation","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ObservationInterpretation-cisis|20251028115834","",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.interpretationCode",0,1,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.methodCode","fr-resultat-examens-de-biologie-element-clinique-pertinent.methodCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Méthode ou technique employée","Méthode ou technique employée","","","","","","","","","",,,,,"",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.methodCode",0,1,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.entryRelationship","fr-resultat-examens-de-biologie-element-clinique-pertinent.entryRelationship","","","",0,*,"","","","string {[]} {[]}
","Commentaire d'interprétation des résultats","Commentaire d'interprétation des résultats","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ObservationInterpretation-cisis|20251028115834","",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.entryRelationship",0,*,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.referenceRange","fr-resultat-examens-de-biologie-element-clinique-pertinent.referenceRange","","","",0,1,"","","","string {[]} {[]}
","Intervalles de référence","Intervalles de référence","","","","","","","","","",,,,,"",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.referenceRange",0,1,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.observationRange","fr-resultat-examens-de-biologie-element-clinique-pertinent.observationRange","","","",1,1,"","","","string {[]} {[]}
","Condition pour cet intervalle de référence","Condition pour cet intervalle de référence","","","","","","","","","",,,,,"",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.observationRange",1,1,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.low","fr-resultat-examens-de-biologie-element-clinique-pertinent.low","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.low",0,1,"",""
"fr-resultat-examens-de-biologie-element-clinique-pertinent.high","fr-resultat-examens-de-biologie-element-clinique-pertinent.high","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-resultat-examens-de-biologie-element-clinique-pertinent.high",0,1,"",""
