"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-tnm-a","fr-tnm-a","","","",0,*,"","","","null {[]} {[]}
","FR-TNM-a","IHE-APSR - TNM a","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-tnm-a.observation","fr-tnm-a.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée TNM -a","Entrée TNM -a","","","","","","","","","",,,,,"",,,,"fr-tnm-a.observation",0,1,"",""
"fr-tnm-a.id","fr-tnm-a.id","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-tnm-a.id",0,*,"",""
"fr-tnm-a.code","fr-tnm-a.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation
                          descripteurs supplémentaires: a - (stadification de la tumeur) à l'autopsie","Code de l'observation
                          descripteurs supplémentaires: a - (stadification de la tumeur) à l'autopsie","","","","","","","","","",,,,,"",,,,"fr-tnm-a.code",1,1,"",""
"fr-tnm-a.text","fr-tnm-a.text","","","",0,1,"","","","string {[]} {[]}
","Description narrative de l'observation","Description narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-tnm-a.text",0,1,"",""
"fr-tnm-a.statusCode","fr-tnm-a.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","","","","",,,,,"",,,,"fr-tnm-a.statusCode",1,1,"",""
"fr-tnm-a.effectiveTime","fr-tnm-a.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date de l'observation
                          L'élément <effectiveTime> doit être présent dans une observation autonome (c'est-à-dire une observatio...","Date de l'observation
                          L'élément <effectiveTime> doit être présent dans une observation autonome (c'est-à-dire une observatio...","","","","","","","","","",,,,,"",,,,"fr-tnm-a.effectiveTime",1,1,"",""
"fr-tnm-a.value","fr-tnm-a.value","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Valeur de l'observation","Valeur de l'observation","","","","","","","","","",,,,,"",,,,"fr-tnm-a.value",1,1,"",""
