"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-autorisation-substitution","fr-autorisation-substitution","","","",0,*,"","","","null {[]} {[]}
","FR-Autorisation-Substitution","IHE-PRE - Substitution-Permission                                                               Cette observation permet d'indiquer si le traitement auquel elle est associée peut être substitué.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-autorisation-substitution.act","fr-autorisation-substitution.act","","","",1,1,"","","","string {[]} {[]}
","Entrée Autorisation de substitution","Entrée Autorisation de substitution","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActSubstanceAdminSubstitutionCode-cisis|20251028115833","",,,,"fr-autorisation-substitution.act",1,1,"",""
"fr-autorisation-substitution.code","fr-autorisation-substitution.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type de substitution autorisé entre le traitement prescrit et le traitement dispensé.","Type de substitution autorisé entre le traitement prescrit et le traitement dispensé.","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActSubstanceAdminSubstitutionCode-cisis|20251028115833","",,,,"fr-autorisation-substitution.code",0,1,"",""
"fr-autorisation-substitution.statusCode","fr-autorisation-substitution.statusCode","","","",1,1,"","","","string {[]} {[]}
","Statut de l’entrée
                        
                        Fixé à la valeur ""completed""","Statut de l’entrée
                        
                        Fixé à la valeur ""completed""","","","","","","","","","",,,,,"",,,,"fr-autorisation-substitution.statusCode",1,1,"",""
