"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-dicom-exposition-patient","fr-dicom-exposition-patient","","","",0,*,"","","","null {[]} {[]}
","FR-DICOM-Exposition-patient","DICOM Part 20 - inclue dans l'entrée FR-DICOM-Exposition-aux-radiations                                                                Cette entrée permet d’enregistrer l'identité du professionnel de santé ayant donné l'autorisation de l'exposition du patient aux rayonnements.                       ...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-dicom-exposition-patient.procedure","fr-dicom-exposition-patient.procedure","","","",0,1,"","","","string {[]} {[]}
","FR-DICOM-Exposition-patient (CI-SIS)","FR-DICOM-Exposition-patient (CI-SIS)","","","","","","","","","",,,,,"",,,,"fr-dicom-exposition-patient.procedure",0,1,"",""
"fr-dicom-exposition-patient.code","fr-dicom-exposition-patient.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-dicom-exposition-patient.code",1,1,"",""
