"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-reference-item-administration","fr-reference-item-administration","","","",0,*,"","","","null {[]} {[]}
","FR-Reference-item-administration","IHE-PRE - Reference-Medication-Administration-Item                                                                Cette entrée permet d’enregistrer la référence d’un item d’administration.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-reference-item-administration.substanceAdministration","fr-reference-item-administration.substanceAdministration","","","",1,1,"","","","string {[]} {[]}
","Entrée Référence item administration","Entrée Référence item administration","","","","","","","","","",,,,,"",,,,"fr-reference-item-administration.substanceAdministration",1,1,"",""
"fr-reference-item-administration.id","fr-reference-item-administration.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-reference-item-administration.id",1,1,"",""
"fr-reference-item-administration.code","fr-reference-item-administration.code","","","",1,1,"","","","code {[]} {[]}
","Code de l’entrée","Code de l’entrée","","","","","","","","","",,,,,"",,,,"fr-reference-item-administration.code",1,1,"",""
"fr-reference-item-administration.consumable","fr-reference-item-administration.consumable","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-reference-item-administration.consumable",1,1,"",""
"fr-reference-item-administration.manufacturedProduct","fr-reference-item-administration.manufacturedProduct","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-reference-item-administration.manufacturedProduct",1,1,"",""
"fr-reference-item-administration.manufacturedMaterial","fr-reference-item-administration.manufacturedMaterial","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-reference-item-administration.manufacturedMaterial",1,1,"",""
"fr-reference-item-administration.entryRelationship","fr-reference-item-administration.entryRelationship","","","",0,1,"","","","string {[]} {[]}
","Traitement prescrit","Traitement prescrit","","","","","","","","","",,,,,"",,,,"fr-reference-item-administration.entryRelationship",0,1,"",""
"fr-reference-item-administration.reference","fr-reference-item-administration.reference","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-reference-item-administration.reference",0,1,"",""
"fr-reference-item-administration.externalDocument","fr-reference-item-administration.externalDocument","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-reference-item-administration.externalDocument",1,1,"",""
