"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-hors-nomenclature","fr-hors-nomenclature","","","",0,*,"","","","null {[]} {[]}
","FR-Hors-nomenclature","IHE-PCC - Simple-Observation                                                                Cette observation permet d'indiquer si l’acte est hors nomenclature.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-hors-nomenclature.observation","fr-hors-nomenclature.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Simple observation","Entrée Simple observation","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-hors-nomenclature.observation",0,1,"",""
"fr-hors-nomenclature.id","fr-hors-nomenclature.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-hors-nomenclature.id",1,1,"",""
"fr-hors-nomenclature.code","fr-hors-nomenclature.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"fr-hors-nomenclature.code",1,1,"",""
"fr-hors-nomenclature.text","fr-hors-nomenclature.text","","","",1,1,"","","","string {[]} {[]}
","Description narrative de l'observation","Description narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-hors-nomenclature.text",1,1,"",""
"fr-hors-nomenclature.reference","fr-hors-nomenclature.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-hors-nomenclature.reference",1,1,"",""
"fr-hors-nomenclature.statusCode","fr-hors-nomenclature.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-hors-nomenclature.statusCode",1,1,"",""
"fr-hors-nomenclature.effectiveTime","fr-hors-nomenclature.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Horodatage de l'entrée","Horodatage de l'entrée","","","","","","","","","",,,,,"",,,,"fr-hors-nomenclature.effectiveTime",0,1,"",""
"fr-hors-nomenclature.value","fr-hors-nomenclature.value","","","",1,1,"","","","boolean {[]} {[]}
","Résultat
                        
                        L'attribut @value pourra prendre l'une des deux valeurs suivantes : • value=""true"" : l’acte ...","Résultat
                        
                        L'attribut @value pourra prendre l'une des deux valeurs suivantes : • value=""true"" : l’acte ...","","","","","","","","","",,,,,"",,,,"fr-hors-nomenclature.value",1,1,"",""
