"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-vaccin-recommande","fr-vaccin-recommande","","","",0,*,"","","","null {[]} {[]}
","FR-Vaccin-recommande","IHE-PCC - Immunization recommendation                 L'entrée 'Vaccin recommandé' est une entrée de type 'substanceAdministration' qui permet de décrire une vaccination prévue ou proposée.                 Une vaccination proposée est une proposition qui est utilisée dans la prise de décisions (elle...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-vaccin-recommande.substanceAdministration","fr-vaccin-recommande.substanceAdministration","","","",0,1,"","","","string {[]} {[]}
","Entrée Vaccin recommandé","Entrée Vaccin recommandé","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-immunization-approach-site-code-cisis|20251028115832","",,,,"fr-vaccin-recommande.substanceAdministration",0,1,"",""
"fr-vaccin-recommande.id","fr-vaccin-recommande.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l’entrée
                        Attribué par le LPS avec si possible les attributs @root et @extension. Sinon, un identifiant unique d...","Identifiant de l’entrée
                        Attribué par le LPS avec si possible les attributs @root et @extension. Sinon, un identifiant unique d...","","","","","","","","","",,,,,"",,,,"fr-vaccin-recommande.id",1,1,"",""
"fr-vaccin-recommande.code","fr-vaccin-recommande.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type d'acte : vaccination","Type d'acte : vaccination","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActSubstanceAdministrationImmunizationCode-cisis|20251028115836","",,,,"fr-vaccin-recommande.code",1,1,"",""
"fr-vaccin-recommande.text","fr-vaccin-recommande.text","","","",1,1,"","","","string {[]} {[]}
","Partie narrative de l’entrée","Partie narrative de l’entrée","","","","","","","","","",,,,,"",,,,"fr-vaccin-recommande.text",1,1,"",""
"fr-vaccin-recommande.reference","fr-vaccin-recommande.reference","","","",1,1,"","","","string {[]} {[]}
","Référence à la partie narrative de la section","Référence à la partie narrative de la section","","","","","","","","","",,,,,"",,,,"fr-vaccin-recommande.reference",1,1,"",""
"fr-vaccin-recommande.statusCode","fr-vaccin-recommande.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l’entrée
                        
                        Fixé à la valeur code=""active""","Statut de l’entrée
                        
                        Fixé à la valeur code=""active""","","","","","","","","","",,,,,"",,,,"fr-vaccin-recommande.statusCode",1,1,"",""
"fr-vaccin-recommande.effectiveTime","fr-vaccin-recommande.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Période de vaccination souhaitable","Période de vaccination souhaitable","","","","","","","","","",,,,,"",,,,"fr-vaccin-recommande.effectiveTime",1,1,"",""
"fr-vaccin-recommande.low","fr-vaccin-recommande.low","","","",1,1,"","","","dateTime {[]} {[]}
","Date de début de période","Date de début de période","","","","","","","","","",,,,,"",,,,"fr-vaccin-recommande.low",1,1,"",""
"fr-vaccin-recommande.high","fr-vaccin-recommande.high","","","",1,1,"","","","dateTime {[]} {[]}
","Date de fin de période","Date de fin de période","","","","","","","","","",,,,,"",,,,"fr-vaccin-recommande.high",1,1,"",""
"fr-vaccin-recommande.routeCode","fr-vaccin-recommande.routeCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Voie d’administration","Voie d’administration","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-immunization-route-code-cisis|20251028115833","",,,,"fr-vaccin-recommande.routeCode",0,1,"",""
"fr-vaccin-recommande.approachSiteCode","fr-vaccin-recommande.approachSiteCode","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Terminologies: SNOMED CT","OIDs: 2.16.840.1.113883.6.96","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-immunization-approach-site-code-cisis|20251028115832","",,,,"fr-vaccin-recommande.approachSiteCode",0,*,"",""
"fr-vaccin-recommande.doseQuantity","fr-vaccin-recommande.doseQuantity","","","",0,1,"","","","string {[]} {[]}
","Dose administrée","Dose administrée","","","","","","","","","",,,,,"",,,,"fr-vaccin-recommande.doseQuantity",0,1,"",""
"fr-vaccin-recommande.consumable","fr-vaccin-recommande.consumable","","","",1,1,"","","","string {[]} {[]}
","Vaccin","Vaccin","","","","","","","","","",,,,,"",,,,"fr-vaccin-recommande.consumable",1,1,"",""
"fr-vaccin-recommande.entryRelationship","fr-vaccin-recommande.entryRelationship","","","",0,1,"","","","string {[]} {[]}
","Référence de la prescription","Référence de la prescription","","","","","","","","","",,,,,"",,,,"fr-vaccin-recommande.entryRelationship",0,1,"",""
