"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-fonction-etudiee","fr-fonction-etudiee","","","",0,*,"","","","null {[]} {[]}
","FR-Fonction-etudiee","Cette entrée permet d’enregistrer la fonction étudiée lors d’un examen ""TEP"" ou ""Scintigraphie"".","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-fonction-etudiee.observation","fr-fonction-etudiee.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Fonction étudiée","Entrée Fonction étudiée","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-fonction-etudiee-tep-cisis|20250624152100","",,,,"fr-fonction-etudiee.observation",0,1,"",""
"fr-fonction-etudiee.id","fr-fonction-etudiee.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-fonction-etudiee.id",1,1,"",""
"fr-fonction-etudiee.code","fr-fonction-etudiee.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Catégorie de l’observation effectuée","Catégorie de l’observation effectuée","","","","","","","","","",,,,,"",,,,"fr-fonction-etudiee.code",1,1,"",""
"fr-fonction-etudiee.text","fr-fonction-etudiee.text","","","",1,1,"","","","string {[]} {[]}
","Description narrative de la valeur de l’observation","Description narrative de la valeur de l’observation","","","","","","","","","",,,,,"",,,,"fr-fonction-etudiee.text",1,1,"",""
"fr-fonction-etudiee.reference","fr-fonction-etudiee.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-fonction-etudiee.reference",1,1,"",""
"fr-fonction-etudiee.statusCode","fr-fonction-etudiee.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation
                        
                        Fixé à la valeur ""completed""","Statut de l'observation
                        
                        Fixé à la valeur ""completed""","","","","","","","","","",,,,,"",,,,"fr-fonction-etudiee.statusCode",1,1,"",""
"fr-fonction-etudiee.effectiveTime","fr-fonction-etudiee.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Horodatage de l’entrée","Horodatage de l’entrée","","","","","","","","","",,,,,"",,,,"fr-fonction-etudiee.effectiveTime",0,1,"",""
"fr-fonction-etudiee.value","fr-fonction-etudiee.value","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_FonctionEtudieeTEP_CISIS, JDV_FonctionEtudieeScintigraphie_CISIS","OIDs: 1.2.250.1.213.1.1.5.669, 1.2.250.1.213.1.1.5.668","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-fonction-etudiee-tep-cisis|20250624152100","",,,,"fr-fonction-etudiee.value",0,1,"",""
