"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-laboratoire-executant","fr-laboratoire-executant","","","",0,*,"","","","null {[]} {[]}
","FR-Laboratoire-executant","IHE-PCC - Laboratory performer L'élément Laboratoire exécutant est un élément de type 'performer' qui permet de décrire le laboratoire de biologie médicale ayant produit les résultats d'examens de biologie médicale portés dans un document (compte rendu, synthèse …).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-laboratoire-executant.performer","fr-laboratoire-executant.performer","","","",0,1,"","","","string {[]} {[]}
","Laboratoire exécutant","Laboratoire exécutant","","","","","","","","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J04-XdsPracticeSettingCode-CISIS/FHIR/JDV-J04-XdsPracticeSettingCode-CISIS|20240927120000","",,,,"fr-laboratoire-executant.performer",0,1,"",""
"fr-laboratoire-executant.time","fr-laboratoire-executant.time","","","",1,1,"","","","Period {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-laboratoire-executant.time",1,1,"",""
"fr-laboratoire-executant.low","fr-laboratoire-executant.low","","","",0,1,"","","","dateTime {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-laboratoire-executant.low",0,1,"",""
"fr-laboratoire-executant.high","fr-laboratoire-executant.high","","","",0,1,"","","","dateTime {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-laboratoire-executant.high",0,1,"",""
"fr-laboratoire-executant.assignedEntity","fr-laboratoire-executant.assignedEntity","","","",1,1,"","","","string {[]} {[]}
","Identifiant globalement unique du PS ou du patient.
                              Cet identifiant est formé par la combinaison des attributs root et e...","Identifiant globalement unique du PS ou du patient.
                              Cet identifiant est formé par la combinaison des attributs root et e...","","","","","","","","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J04-XdsPracticeSettingCode-CISIS/FHIR/JDV-J04-XdsPracticeSettingCode-CISIS|20240927120000","",,,,"fr-laboratoire-executant.assignedEntity",1,1,"",""
"fr-laboratoire-executant.id","fr-laboratoire-executant.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant globalement unique du PS ou du patient.
                              Cet identifiant est formé par la combinaison des attributs root et e...","Identifiant globalement unique du PS ou du patient.
                              Cet identifiant est formé par la combinaison des attributs root et e...","","","","","","","","","",,,,,"",,,,"fr-laboratoire-executant.id",1,1,"",""
"fr-laboratoire-executant.code","fr-laboratoire-executant.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Profession / Spécialité du directeur du laboratoire","Profession / Spécialité du directeur du laboratoire","","","","","","","","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J01-XdsAuthorSpecialty-CISIS/FHIR/JDV-J01-XdsAuthorSpecialty-CISIS|20250721120000","",,,,"fr-laboratoire-executant.code",0,1,"",""
"fr-laboratoire-executant.assignedPerson","fr-laboratoire-executant.assignedPerson","","","",1,1,"","","","string {[]} {[]}
","Informations relatives au PS ou au patient.","Informations relatives au PS ou au patient.","","","","","","","","","",,,,,"",,,,"fr-laboratoire-executant.assignedPerson",1,1,"",""
"fr-laboratoire-executant.name","fr-laboratoire-executant.name","","","",1,1,"","","","HumanName {[]} {[]}
","Nom de famille ou du nom d'usage, prénom et civilité","Nom de famille ou du nom d'usage, prénom et civilité","","","","","","","","","",,,,,"",,,,"fr-laboratoire-executant.name",1,1,"",""
"fr-laboratoire-executant.prefix","fr-laboratoire-executant.prefix","","","",0,1,"","","","string {[]} {[]}
","Terminologies: JDV_J245_Civilite_CISIS","OIDs: 1.2.250.1.213.1.1.5.718","","","","","","","","","",,,,,"",,,,"fr-laboratoire-executant.prefix",0,1,"",""
"fr-laboratoire-executant.given","fr-laboratoire-executant.given","","","",0,1,"","","","string {[]} {[]}
","Prénom
                                      Pour les PS, valeur de PS_Prénom (voir CI-SIS_ANX_SOURCES-DONNEES-PERSONNES-STRUCTURES).","Prénom
                                      Pour les PS, valeur de PS_Prénom (voir CI-SIS_ANX_SOURCES-DONNEES-PERSONNES-STRUCTURES).","","","","","","","","","",,,,,"",,,,"fr-laboratoire-executant.given",0,1,"",""
"fr-laboratoire-executant.family","fr-laboratoire-executant.family","","","",1,1,"","","","string {[]} {[]}
","Nom de famille ou nom d'usage.
                                      Pour les PS, valeur de PS_Nom (voir CI-SIS_ANX_SOURCES-DONNEES-PERSONNES-STRUCTUR...","Nom de famille ou nom d'usage.
                                      Pour les PS, valeur de PS_Nom (voir CI-SIS_ANX_SOURCES-DONNEES-PERSONNES-STRUCTUR...","","","","","","","","","",,,,,"",,,,"fr-laboratoire-executant.family",1,1,"",""
"fr-laboratoire-executant.suffix","fr-laboratoire-executant.suffix","","","",0,1,"","","","string {[]} {[]}
","Terminologies: JDV_J246_Titre_CISIS","OIDs: 1.2.250.1.213.1.1.5.719","","","","","","","","","",,,,,"",,,,"fr-laboratoire-executant.suffix",0,1,"",""
