"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-severite","fr-severite","","","",0,*,"","","","null {[]} {[]}
","FR-Severite","IHE-PCC - Severity                                                               Cette entrée permet de donner le niveau de sévérité d’un problème : bas, modéré, élevé, etc...                                                                    Il est utilisé exclusivement dans un lien entryRelationsh...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-severite.observation","fr-severite.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Sévérité","Entrée Sévérité","","","","","","","","","",,,,,"",,,,"fr-severite.observation",0,1,"",""
"fr-severite.code","fr-severite.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l’entrée","Code de l’entrée","","","","","","","","","",,,,,"",,,,"fr-severite.code",1,1,"",""
"fr-severite.text","fr-severite.text","","","",1,1,"","","","string {[]} {[]}
","Description narrative","Description narrative","","","","","","","","","",,,,,"",,,,"fr-severite.text",1,1,"",""
"fr-severite.reference","fr-severite.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-severite.reference",1,1,"",""
"fr-severite.statusCode","fr-severite.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l’entrée","Statut de l’entrée","","","","","","","","","",,,,,"",,,,"fr-severite.statusCode",1,1,"",""
"fr-severite.value","fr-severite.value","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_SeveriteObservation_CISIS","OIDs: 1.2.250.1.213.1.1.5.675","","","","","","","","","",,,,,"",,,,"fr-severite.value",1,1,"",""
