"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-dicom-objectifs-de-reference","fr-dicom-objectifs-de-reference","","","",0,*,"","","","null {[]} {[]}
","FR-DICOM-Objectifs-de-reference","Cette entrée permet d’enregistrer les objectifs de référence d’imagerie.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-dicom-objectifs-de-reference.observation","fr-dicom-objectifs-de-reference.observation","","","",0,1,"","","","string {[]} {[]}
","Conformité FR-DICOM-Objectifs-de-reference (CI-SIS)","Conformité FR-DICOM-Objectifs-de-reference (CI-SIS)","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-imagerie-objectif-reference-cisis|20251028115833","",,,,"fr-dicom-objectifs-de-reference.observation",0,1,"",""
"fr-dicom-objectifs-de-reference.code","fr-dicom-objectifs-de-reference.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-dicom-objectifs-de-reference.code",1,1,"",""
"fr-dicom-objectifs-de-reference.value","fr-dicom-objectifs-de-reference.value","","","",1,1,"","","","string {[]} {[]}
","Valeur de l'entrée","Valeur de l'entrée","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-imagerie-objectif-reference-cisis|20251028115833","",,,,"fr-dicom-objectifs-de-reference.value",1,1,"",""
