"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-dicom-technique-imagerie","fr-dicom-technique-imagerie","","","",0,*,"","","","null {[]} {[]}
","FR-DICOM-Technique-imagerie","DICOM Part 20 - Procedure Technique                  Cette entrée permet d’enregistrer les différents paramètres de l’acquisition d’image :                                                                 acte d'imagerie                                                                     modalité d'a...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-dicom-technique-imagerie.procedure","fr-dicom-technique-imagerie.procedure","","","",1,1,"","","","string {[]} {[]}
","Entrée FR-DICOM-Technique-imagerie","Entrée FR-DICOM-Technique-imagerie","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-dicom-technique-imagerie.procedure",1,1,"",""
"fr-dicom-technique-imagerie.id","fr-dicom-technique-imagerie.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-dicom-technique-imagerie.id",1,1,"",""
"fr-dicom-technique-imagerie.code","fr-dicom-technique-imagerie.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_CodesDocumentImagerie_CISIS","OIDs: 1.2.250.1.213.1.1.5.687","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-code-document-imagerie-cisis|20251028115832","",,,,"fr-dicom-technique-imagerie.code",1,1,"",""
"fr-dicom-technique-imagerie.translation","fr-dicom-technique-imagerie.translation","","","",0,1,"","","","string {[]} {[]}
","Autre code de l’acte d’imagerie","Autre code de l’acte d’imagerie","","","","","","","","","",,,,,"",,,,"fr-dicom-technique-imagerie.translation",0,1,"",""
"fr-dicom-technique-imagerie.text","fr-dicom-technique-imagerie.text","","","",0,1,"","","","string {[]} {[]}
","Partie narrative de l'entrée","Partie narrative de l'entrée","","","","","","","","","",,,,,"",,,,"fr-dicom-technique-imagerie.text",0,1,"",""
"fr-dicom-technique-imagerie.reference","fr-dicom-technique-imagerie.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-technique-imagerie.reference",1,1,"",""
"fr-dicom-technique-imagerie.effectiveTime","fr-dicom-technique-imagerie.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Date de l'acte","Date de l'acte","","","","","","","","","",,,,,"",,,,"fr-dicom-technique-imagerie.effectiveTime",0,1,"",""
"fr-dicom-technique-imagerie.methodCode","fr-dicom-technique-imagerie.methodCode","","","",1,*,"","","","CodeableConcept {[]} {[]}
","Modalité d’acquisition","Modalité d’acquisition","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modalite-acquisition-cisis|20251028115833","",,,,"fr-dicom-technique-imagerie.methodCode",1,*,"",""
"fr-dicom-technique-imagerie.targetSiteCode","fr-dicom-technique-imagerie.targetSiteCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_LocalisationAnatomique_CISIS","OIDs: 1.2.250.1.213.1.1.5.694","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-dicom-technique-imagerie.targetSiteCode",1,1,"",""
"fr-dicom-technique-imagerie.originalText","fr-dicom-technique-imagerie.originalText","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-technique-imagerie.originalText",0,1,"",""
"fr-dicom-technique-imagerie.qualifier","fr-dicom-technique-imagerie.qualifier","","","",0,1,"","","","string {[]} {[]}
","Précision topographique","Précision topographique","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-dicom-technique-imagerie.qualifier",0,1,"",""
"fr-dicom-technique-imagerie.name","fr-dicom-technique-imagerie.name","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-technique-imagerie.name",1,1,"",""
"fr-dicom-technique-imagerie.value","fr-dicom-technique-imagerie.value","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_ModificateurTopographique_CISIS","OIDs: 1.2.250.1.213.1.1.5.688","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-dicom-technique-imagerie.value",1,1,"",""
