"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-probleme","fr-probleme","","","",0,*,"","","","null {[]} {[]}
","FR-Probleme","IHE-PCC - Problem-Entry                 Cette entrée permet de décrire un problème du patient (une pathologie par exemple) en précisant :  Le type de problème observé : problème, plainte, symptôme, diagnostic, etc.                                                               Le problème observé (en...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-probleme.observation","fr-probleme.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Problème","Entrée Problème","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-code-probleme-cisis|20251028115835","",,,,"fr-probleme.observation",0,1,"",""
"fr-probleme.id","fr-probleme.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l’entrée","Identifiant de l’entrée","","","","","","","","","",,,,,"",,,,"fr-probleme.id",1,1,"",""
"fr-probleme.code","fr-probleme.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type d'observation","Type d'observation","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-code-probleme-cisis|20251028115835","",,,,"fr-probleme.code",1,1,"",""
"fr-probleme.text","fr-probleme.text","","","",1,1,"","","","string {[]} {[]}
","Description narrative du problème
                        
                        Cet élément permet de décrire le problème enregistré, les dates, co...","Description narrative du problème
                        
                        Cet élément permet de décrire le problème enregistré, les dates, co...","","","","","","","","","",,,,,"",,,,"fr-probleme.text",1,1,"",""
"fr-probleme.reference","fr-probleme.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-probleme.reference",1,1,"",""
"fr-probleme.statusCode","fr-probleme.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l’entrée","Statut de l’entrée","","","","","","","","","",,,,,"",,,,"fr-probleme.statusCode",1,1,"",""
"fr-probleme.effectiveTime","fr-probleme.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Dates de début et de fin du problème","Dates de début et de fin du problème","","","","","","","","","",,,,,"",,,,"fr-probleme.effectiveTime",1,1,"",""
"fr-probleme.low","fr-probleme.low","","","",1,1,"","","","dateTime {[]} {[]}
","Date de début du problème
                            
                            S’il n’est pas possible de donner une date, même approximative (l’a...","Date de début du problème
                            
                            S’il n’est pas possible de donner une date, même approximative (l’a...","","","","","","","","","",,,,,"",,,,"fr-probleme.low",1,1,"",""
"fr-probleme.high","fr-probleme.high","","","",0,1,"","","","dateTime {[]} {[]}
","Date de fin du problème
                            
                            lorsqu'elle est présente, indique la date à laquelle l'observation n'...","Date de fin du problème
                            
                            lorsqu'elle est présente, indique la date à laquelle l'observation n'...","","","","","","","","","",,,,,"",,,,"fr-probleme.high",0,1,"",""
"fr-probleme.value","fr-probleme.value","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: CIM-10, JDV_AbsentOrUnknownProblem_CISIS, CIM-11","OIDs: 2.16.840.1.113883.6.347, 1.2.250.1.213.1.1.5.662","","","","","","","","","",,,,,"",,,,"fr-probleme.value",1,1,"",""
"fr-probleme.originalText","fr-probleme.originalText","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-probleme.originalText",0,1,"",""
"fr-probleme.qualifier","fr-probleme.qualifier","","","",0,*,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-probleme.qualifier",0,*,"",""
"fr-probleme.entryRelationship","fr-probleme.entryRelationship","","","",0,1,"","","","string {[]} {[]}
","Commentaire","Commentaire","","","","","","","","","",,,,,"",,,,"fr-probleme.entryRelationship",0,1,"",""
"fr-probleme.externalDocument","fr-probleme.externalDocument","","","",1,1,"","","","string {[]} {[]}
","Identifiant du document","Identifiant du document","","","","","","","","","",,,,,"",,,,"fr-probleme.externalDocument",1,1,"",""
