"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-directive-anticipee","fr-directive-anticipee","","","",0,*,"","","","null {[]} {[]}
","FR-Directive-anticipee","IHE-PCC - Advance-Directive-Observation                 Cette entrée permet d’indiquer si les directives anticipées du patient.                                                                Article L1111-11 du Code de la Santé Publique : « Toute personne majeure peut rédiger des directives anticipé...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-directive-anticipee.observation","fr-directive-anticipee.observation","","","",0,1,"","","","string {[]} {[]}
","Terminologies: cip","Entrée Directive anticipée","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/1.2.250.1.213.1.1.5.503","",,,,"fr-directive-anticipee.observation",0,1,"",""
"fr-directive-anticipee.id","fr-directive-anticipee.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-directive-anticipee.id",1,1,"",""
"fr-directive-anticipee.code","fr-directive-anticipee.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: JDV_TypeDirectiveAnticipee_CISIS, cip","OIDs: 1.2.250.1.213.1.1.5.136","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-type-directive-anticipee-cisis|20250624152100","",,,,"fr-directive-anticipee.code",1,1,"",""
"fr-directive-anticipee.text","fr-directive-anticipee.text","","","",1,1,"","","","string {[]} {[]}
","Partie narrative de l'observation","Partie narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-directive-anticipee.text",1,1,"",""
"fr-directive-anticipee.reference","fr-directive-anticipee.reference","","","",1,1,"","","","string {[]} {[]}
","Référence vers la partie narrative de la section","Référence vers la partie narrative de la section","","","","","","","","","",,,,,"",,,,"fr-directive-anticipee.reference",1,1,"",""
"fr-directive-anticipee.statusCode","fr-directive-anticipee.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation
                        
                        Fixé à la valeur ""completed""","Statut de l'observation
                        
                        Fixé à la valeur ""completed""","","","","","","","","","",,,,,"",,,,"fr-directive-anticipee.statusCode",1,1,"",""
"fr-directive-anticipee.effectiveTime","fr-directive-anticipee.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Terminologies: cip","Date de la directive anticipée","","","","","","","","","",,,,,"",,,,"fr-directive-anticipee.effectiveTime",1,1,"",""
"fr-directive-anticipee.low","fr-directive-anticipee.low","","","",1,1,"","","","dateTime {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-directive-anticipee.low",1,1,"",""
"fr-directive-anticipee.high","fr-directive-anticipee.high","","","",1,1,"","","","dateTime {[]} {[]}
","Si la date de fin n’est pas connu, mettre nullFlavor=""NA""","Si la date de fin n’est pas connu, mettre nullFlavor=""NA""","","","","","","","","","",,,,,"",,,,"fr-directive-anticipee.high",1,1,"",""
"fr-directive-anticipee.value","fr-directive-anticipee.value","","","",0,1,"","","","boolean {[]} {[]}
","Terminologies: cip","Procédure autorisée ou pas
                        
                        La valeur de la directive identifiée est un élément booléen (xsi:type=""BL""...","","","","","","","","","",,,,,"",,,,"fr-directive-anticipee.value",0,1,"",""
"fr-directive-anticipee.externalDocument","fr-directive-anticipee.externalDocument","","","",1,1,"","","","string {[]} {[]}
","Référence à un document externe","Référence à un document externe","","","","","","","","","",,,,,"",,,,"fr-directive-anticipee.externalDocument",1,1,"",""
"fr-directive-anticipee.entryRelationship","fr-directive-anticipee.entryRelationship","","","",0,1,"","","","string {[]} {[]}
","Document encapsulé en B64","Document encapsulé en B64","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/1.2.250.1.213.1.1.5.503","",,,,"fr-directive-anticipee.entryRelationship",0,1,"",""
"fr-directive-anticipee.observationMedia","fr-directive-anticipee.observationMedia","","","",1,1,"","","","string {[]} {[]}
","observationMedia","observationMedia","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/1.2.250.1.213.1.1.5.503","",,,,"fr-directive-anticipee.observationMedia",1,1,"",""
