URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://mos.esante.gouv.fr/NOS/JDV_J11-RelationPatient-CISIS/FHIR/JDV-J11-RelationPatient-CISIS,20200424120000,active,"1.2.250.1.213.3.3.16",JDV_J11_RelationPatient_CISIS,,"Relation par rapport au patient - CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J110-StatutVisibiliteDocument-CISIS/FHIR/JDV-J110-StatutVisibiliteDocument-CISIS,20200424120000,active,"1.2.250.1.213.1.1.5.480",JDV_J110_StatutVisibiliteDocument_CISIS,,"Restriction d'audience applicable aux objets référencés liste - CISIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J111-StatutEtatCivil-ENREG/FHIR/JDV-J111-StatutEtatCivil-ENREG,20250131120000,active,"1.2.250.1.213.1.6.1.182",JDV_J111_StatutEtatCivil_ENREG,,"Statut de l'état civil pour ENREG",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J112-SexeAdministratif-ENREG/FHIR/JDV-J112-SexeAdministratif-ENREG,20200529120000,active,"1.2.250.1.213.1.6.1.183",JDV_J112_SexeAdministratif_ENREG,,"Sexe administratif pour ENREG",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J113-Civilite-ENREG/FHIR/JDV-J113-Civilite-ENREG,20200529120000,active,"1.2.250.1.213.1.6.1.184",JDV_J113_Civilite_ENREG,,"Civilité pour ENREG",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J114-Pays-ENREG/FHIR/JDV-J114-Pays-ENREG,20240126120000,retired,"1.2.250.1.213.1.6.1.185",JDV_J114_Pays_ENREG,,"Référentiel dérivé des pays provenant de la norme INSEE pour ENREG",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J115-Langue-ENREG/FHIR/JDV-J115-Langue-ENREG,20240927120000,active,"1.2.250.1.213.1.6.1.186",JDV_J115_Langue_ENREG,,"Langue pour ENREG",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J116-GenreActivite-ENREG/FHIR/JDV-J116-GenreActivite-ENREG,20231124120000,active,"1.2.250.1.213.1.6.1.187",JDV_J116_GenreActivite_ENREG,,"Genre d'activité pour ENREG",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J117-ModeExercice-ENREG/FHIR/JDV-J117-ModeExercice-ENREG,20260202120000,active,"1.2.250.1.213.1.6.1.188",JDV_J117_ModeExercice_ENREG,,"Mode d'exercice pour ENREG",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J118-CategorieProfessionnelle-ENREG/FHIR/JDV-J118-CategorieProfessionnelle-ENREG,20260223120000,active,"1.2.250.1.213.1.6.1.189",JDV_J118_CategorieProfessionnelle_ENREG,,"Catégorie professionnelle pour ENREG",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J119-TypeActiviteLiberale-ENREG/FHIR/JDV-J119-TypeActiviteLiberale-ENREG,20200529120000,active,"1.2.250.1.213.1.6.1.190",JDV_J119_TypeActiviteLiberale_ENREG,,"Type d'activité libérale pour ENREG",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J12-CiviliteTitre-CISIS/FHIR/JDV-J12-CiviliteTitre-CISIS,20200424120000,retired,"1.2.250.1.213.1.1.5.24",JDV_J12_CiviliteTitre_CISIS,JDV J12 CiviliteTitre CISIS,"Titre civilité - CI-SIS",,"Internal"
